1647878663: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647878663: mosquitto version 2.0.14 starting
1647878663: Config loaded from /etc/mosquitto/mosquitto.conf.
1647878663: Opening ipv4 listen socket on port 1883.
1647878663: Opening ipv6 listen socket on port 1883.
1647878663: mosquitto version 2.0.14 running
1647878679: New connection from 130.188.160.11:52330 on port 1883.
1647878679: New client connected from 130.188.160.11:52330 as iotaul_83dd1504 (p2, c1, k60, u'px4').
1647878736: New connection from 130.188.160.13:60143 on port 1883.
1647878736: New client connected from 130.188.160.13:60143 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647878679.975764
/54321/drone001/attrs,TS2,1647878736.829250
/54321/drone001/attrs,TS2,1647878736.849096
/54321/drone001/attrs,TS2,1647878736.869424
/54321/drone001/attrs,TS2,1647878736.890197
/54321/drone001/attrs,TS2,1647878736.910813
/54321/drone001/attrs,TS2,1647878736.931443
/54321/drone001/attrs,TS2,1647878736.951999
/54321/drone001/attrs,TS2,1647878736.972573
/54321/drone001/attrs,TS2,1647878736.993165
/54321/drone001/attrs,TS2,1647878737.13728
/54321/drone001/attrs,TS2,1647878737.34385
/54321/drone001/attrs,TS2,1647878737.54858
/54321/drone001/attrs,TS2,1647878737.75385
/54321/drone001/attrs,TS2,1647878737.95969
/54321/drone001/attrs,TS2,1647878737.116714
/54321/drone001/attrs,TS2,1647878737.137313
/54321/drone001/attrs,TS2,1647878737.157839
/54321/drone001/attrs,TS2,1647878737.178355
/54321/drone001/attrs,TS2,1647878737.199053
/54321/drone001/attrs,TS2,1647878737.219543
/54321/drone001/attrs,TS2,1647878737.240107
/54321/drone001/attrs,TS2,1647878737.260719
/54321/drone001/attrs,TS2,1647878737.281233
/54321/drone001/attrs,TS2,1647878737.301864
/54321/drone001/attrs,TS2,1647878737.322382
/54321/drone001/attrs,TS2,1647878737.343137
/54321/drone001/attrs,TS2,1647878737.363619
/54321/drone001/attrs,TS2,1647878737.384270
/54321/drone001/attrs,TS2,1647878737.404876
/54321/drone001/attrs,TS2,1647878737.425451
/54321/drone001/attrs,TS2,1647878737.446628
/54321/drone001/attrs,TS2,1647878737.466629
/54321/drone001/attrs,TS2,1647878737.487209
/54321/drone001/attrs,TS2,1647878737.507840
/54321/drone001/attrs,TS2,1647878737.528384
/54321/drone001/attrs,TS2,1647878737.549135
/54321/drone001/attrs,TS2,1647878737.569600
/54321/drone001/attrs,TS2,1647878737.590101
/54321/drone001/attrs,TS2,1647878737.610812
/54321/drone001/attrs,TS2,1647878737.631367
/54321/drone001/attrs,TS2,1647878737.651982
/54321/drone001/attrs,TS2,1647878737.672580
/54321/drone001/attrs,TS2,1647878737.693161
/54321/drone001/attrs,TS2,1647878737.713726
/54321/drone001/attrs,TS2,1647878737.734346
/54321/drone001/attrs,TS2,1647878737.754922
/54321/drone001/attrs,TS2,1647878737.775495
/54321/drone001/attrs,TS2,1647878737.796038
/54321/drone001/attrs,TS2,1647878737.816632
/54321/drone001/attrs,TS2,1647878737.837254
/54321/drone001/attrs,TS2,1647878737.857887
