1647878915: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647878915: mosquitto version 2.0.14 starting
1647878915: Config loaded from /etc/mosquitto/mosquitto.conf.
1647878915: Opening ipv4 listen socket on port 1883.
1647878915: Opening ipv6 listen socket on port 1883.
1647878915: mosquitto version 2.0.14 running
1647878966: New connection from 130.188.160.11:52334 on port 1883.
1647878966: New client connected from 130.188.160.11:52334 as iotaul_ddd6de40 (p2, c1, k60, u'px4').
1647878995: New connection from 130.188.160.13:40929 on port 1883.
1647878995: New client connected from 130.188.160.13:40929 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647878966.501823
/54321/drone001/attrs,TS2,1647878995.204763
/54321/drone001/attrs,TS2,1647878995.229585
/54321/drone001/attrs,TS2,1647878995.255279
/54321/drone001/attrs,TS2,1647878995.281061
/54321/drone001/attrs,TS2,1647878995.306654
/54321/drone001/attrs,TS2,1647878995.332231
/54321/drone001/attrs,TS2,1647878995.357813
/54321/drone001/attrs,TS2,1647878995.383260
/54321/drone001/attrs,TS2,1647878995.408824
/54321/drone001/attrs,TS2,1647878995.434427
/54321/drone001/attrs,TS2,1647878995.459940
/54321/drone001/attrs,TS2,1647878995.485621
/54321/drone001/attrs,TS2,1647878995.511206
/54321/drone001/attrs,TS2,1647878995.536829
/54321/drone001/attrs,TS2,1647878995.562385
/54321/drone001/attrs,TS2,1647878995.588022
/54321/drone001/attrs,TS2,1647878995.613574
/54321/drone001/attrs,TS2,1647878995.639004
/54321/drone001/attrs,TS2,1647878995.664759
/54321/drone001/attrs,TS2,1647878995.690273
/54321/drone001/attrs,TS2,1647878995.715819
/54321/drone001/attrs,TS2,1647878995.741421
/54321/drone001/attrs,TS2,1647878995.766997
/54321/drone001/attrs,TS2,1647878995.792567
/54321/drone001/attrs,TS2,1647878995.818193
/54321/drone001/attrs,TS2,1647878995.843692
/54321/drone001/attrs,TS2,1647878995.869196
/54321/drone001/attrs,TS2,1647878995.894928
/54321/drone001/attrs,TS2,1647878995.920427
/54321/drone001/attrs,TS2,1647878995.946125
/54321/drone001/attrs,TS2,1647878995.971687
/54321/drone001/attrs,TS2,1647878995.997318
/54321/drone001/attrs,TS2,1647878996.22864
/54321/drone001/attrs,TS2,1647878996.48524
/54321/drone001/attrs,TS2,1647878996.74116
/54321/drone001/attrs,TS2,1647878996.99749
/54321/drone001/attrs,TS2,1647878996.125358
/54321/drone001/attrs,TS2,1647878996.150949
/54321/drone001/attrs,TS2,1647878996.176393
/54321/drone001/attrs,TS2,1647878996.202023
/54321/drone001/attrs,TS2,1647878996.227605
/54321/drone001/attrs,TS2,1647878996.253105
/54321/drone001/attrs,TS2,1647878996.278675
/54321/drone001/attrs,TS2,1647878996.304374
/54321/drone001/attrs,TS2,1647878996.329986
/54321/drone001/attrs,TS2,1647878996.355708
/54321/drone001/attrs,TS2,1647878996.381142
/54321/drone001/attrs,TS2,1647878996.406717
/54321/drone001/attrs,TS2,1647878996.432277
/54321/drone001/attrs,TS2,1647878996.457904
/54321/drone001/attrs,TS2,1647878996.483551
/54321/drone001/attrs,TS2,1647878996.509149
/54321/drone001/attrs,TS2,1647878996.534745
/54321/drone001/attrs,TS2,1647878996.560429
/54321/drone001/attrs,TS2,1647878996.585933
/54321/drone001/attrs,TS2,1647878996.611532
/54321/drone001/attrs,TS2,1647878996.637151
/54321/drone001/attrs,TS2,1647878996.662730
/54321/drone001/attrs,TS2,1647878996.688440
/54321/drone001/attrs,TS2,1647878996.714104
/54321/drone001/attrs,TS2,1647878996.739600
/54321/drone001/attrs,TS2,1647878996.765383
/54321/drone001/attrs,TS2,1647878996.790953
/54321/drone001/attrs,TS2,1647878996.816613
/54321/drone001/attrs,TS2,1647878996.842117
/54321/drone001/attrs,TS2,1647878996.867815
/54321/drone001/attrs,TS2,1647878996.893364
/54321/drone001/attrs,TS2,1647878996.918943
/54321/drone001/attrs,TS2,1647878996.944571
/54321/drone001/attrs,TS2,1647878996.970155
/54321/drone001/attrs,TS2,1647878996.995674
/54321/drone001/attrs,TS2,1647878997.21254
/54321/drone001/attrs,TS2,1647878997.46935
/54321/drone001/attrs,TS2,1647878997.72456
/54321/drone001/attrs,TS2,1647878997.98083
/54321/drone001/attrs,TS2,1647878997.123705
/54321/drone001/attrs,TS2,1647878997.149225
/54321/drone001/attrs,TS2,1647878997.174784
/54321/drone001/attrs,TS2,1647878997.200426
/54321/drone001/attrs,TS2,1647878997.225923
/54321/drone001/attrs,TS2,1647878997.251732
/54321/drone001/attrs,TS2,1647878997.277394
/54321/drone001/attrs,TS2,1647878997.302967
/54321/drone001/attrs,TS2,1647878997.328523
/54321/drone001/attrs,TS2,1647878997.354132
/54321/drone001/attrs,TS2,1647878997.379681
/54321/drone001/attrs,TS2,1647878997.405273
/54321/drone001/attrs,TS2,1647878997.430863
/54321/drone001/attrs,TS2,1647878997.456380
/54321/drone001/attrs,TS2,1647878997.481928
/54321/drone001/attrs,TS2,1647878997.507627
/54321/drone001/attrs,TS2,1647878997.533205
/54321/drone001/attrs,TS2,1647878997.558740
/54321/drone001/attrs,TS2,1647878997.584817
/54321/drone001/attrs,TS2,1647878997.610391
/54321/drone001/attrs,TS2,1647878997.635989
/54321/drone001/attrs,TS2,1647878997.661537
/54321/drone001/attrs,TS2,1647878997.687133
/54321/drone001/attrs,TS2,1647878997.712694
/54321/drone001/attrs,TS2,1647878997.738157
/54321/drone001/attrs,TS2,1647878997.763769
/54321/drone001/attrs,TS2,1647878997.789220
/54321/drone001/attrs,TS2,1647878997.814924
/54321/drone001/attrs,TS2,1647878997.840620
/54321/drone001/attrs,TS2,1647878997.866152
/54321/drone001/attrs,TS2,1647878997.891756
/54321/drone001/attrs,TS2,1647878997.917351
/54321/drone001/attrs,TS2,1647878997.948959
/54321/drone001/attrs,TS2,1647878997.968522
/54321/drone001/attrs,TS2,1647878997.994079
/54321/drone001/attrs,TS2,1647878998.19733
/54321/drone001/attrs,TS2,1647878998.45259
/54321/drone001/attrs,TS2,1647878998.70905
/54321/drone001/attrs,TS2,1647878998.96523
/54321/drone001/attrs,TS2,1647878998.122140
/54321/drone001/attrs,TS2,1647878998.147758
/54321/drone001/attrs,TS2,1647878998.173223
/54321/drone001/attrs,TS2,1647878998.198872
/54321/drone001/attrs,TS2,1647878998.224492
/54321/drone001/attrs,TS2,1647878998.250090
/54321/drone001/attrs,TS2,1647878998.275904
/54321/drone001/attrs,TS2,1647878998.301386
/54321/drone001/attrs,TS2,1647878998.327042
/54321/drone001/attrs,TS2,1647878998.352556
/54321/drone001/attrs,TS2,1647878998.378114
/54321/drone001/attrs,TS2,1647878998.403678
/54321/drone001/attrs,TS2,1647878998.429234
/54321/drone001/attrs,TS2,1647878998.454835
/54321/drone001/attrs,TS2,1647878998.480372
/54321/drone001/attrs,TS2,1647878998.505924
/54321/drone001/attrs,TS2,1647878998.531684
/54321/drone001/attrs,TS2,1647878998.557286
/54321/drone001/attrs,TS2,1647878998.582840
/54321/drone001/attrs,TS2,1647878998.608406
/54321/drone001/attrs,TS2,1647878998.634130
/54321/drone001/attrs,TS2,1647878998.659707
/54321/drone001/attrs,TS2,1647878998.685329
/54321/drone001/attrs,TS2,1647878998.710889
/54321/drone001/attrs,TS2,1647878998.736539
/54321/drone001/attrs,TS2,1647878998.762112
/54321/drone001/attrs,TS2,1647878998.787740
/54321/drone001/attrs,TS2,1647878998.813383
/54321/drone001/attrs,TS2,1647878998.838948
/54321/drone001/attrs,TS2,1647878998.864592
/54321/drone001/attrs,TS2,1647878998.890088
/54321/drone001/attrs,TS2,1647878998.915782
/54321/drone001/attrs,TS2,1647878998.941327
/54321/drone001/attrs,TS2,1647878998.966894
/54321/drone001/attrs,TS2,1647878998.992423
/54321/drone001/attrs,TS2,1647878999.18080
/54321/drone001/attrs,TS2,1647878999.43798
/54321/drone001/attrs,TS2,1647878999.69403
/54321/drone001/attrs,TS2,1647878999.94887
/54321/drone001/attrs,TS2,1647878999.120453
/54321/drone001/attrs,TS2,1647878999.146137
/54321/drone001/attrs,TS2,1647878999.171790
/54321/drone001/attrs,TS2,1647878999.197378
/54321/drone001/attrs,TS2,1647878999.222905
/54321/drone001/attrs,TS2,1647878999.248588
/54321/drone001/attrs,TS2,1647878999.274164
/54321/drone001/attrs,TS2,1647878999.299756
/54321/drone001/attrs,TS2,1647878999.325349
/54321/drone001/attrs,TS2,1647878999.351699
/54321/drone001/attrs,TS2,1647878999.376686
/54321/drone001/attrs,TS2,1647878999.402219
/54321/drone001/attrs,TS2,1647878999.427893
/54321/drone001/attrs,TS2,1647878999.453406
/54321/drone001/attrs,TS2,1647878999.478917
/54321/drone001/attrs,TS2,1647878999.504678
/54321/drone001/attrs,TS2,1647878999.530245
/54321/drone001/attrs,TS2,1647878999.555843
/54321/drone001/attrs,TS2,1647878999.581501
/54321/drone001/attrs,TS2,1647878999.606986
/54321/drone001/attrs,TS2,1647878999.632617
/54321/drone001/attrs,TS2,1647878999.658227
/54321/drone001/attrs,TS2,1647878999.683833
/54321/drone001/attrs,TS2,1647878999.709404
/54321/drone001/attrs,TS2,1647878999.734952
/54321/drone001/attrs,TS2,1647878999.760617
/54321/drone001/attrs,TS2,1647878999.786205
/54321/drone001/attrs,TS2,1647878999.811833
/54321/drone001/attrs,TS2,1647878999.837430
/54321/drone001/attrs,TS2,1647878999.862981
/54321/drone001/attrs,TS2,1647878999.888611
/54321/drone001/attrs,TS2,1647878999.914146
/54321/drone001/attrs,TS2,1647878999.939857
/54321/drone001/attrs,TS2,1647878999.965410
/54321/drone001/attrs,TS2,1647878999.990995
/54321/drone001/attrs,TS2,1647879000.16512
/54321/drone001/attrs,TS2,1647879000.41978
/54321/drone001/attrs,TS2,1647879000.68259
/54321/drone001/attrs,TS2,1647879000.93192
/54321/drone001/attrs,TS2,1647879000.118799
/54321/drone001/attrs,TS2,1647879000.144308
/54321/drone001/attrs,TS2,1647879000.169972
/54321/drone001/attrs,TS2,1647879000.195532
/54321/drone001/attrs,TS2,1647879000.221102
/54321/drone001/attrs,TS2,1647879000.246643
/54321/drone001/attrs,TS2,1647879000.272220
/54321/drone001/attrs,TS2,1647879000.297730
/54321/drone001/attrs,TS2,1647879000.323426
/54321/drone001/attrs,TS2,1647879000.349101
/54321/drone001/attrs,TS2,1647879000.374730
/54321/drone001/attrs,TS2,1647879000.400294
/54321/drone001/attrs,TS2,1647879000.425906
/54321/drone001/attrs,TS2,1647879000.451514
/54321/drone001/attrs,TS2,1647879000.477158
/54321/drone001/attrs,TS2,1647879000.502659
/54321/drone001/attrs,TS2,1647879000.528236
/54321/drone001/attrs,TS2,1647879000.553959
/54321/drone001/attrs,TS2,1647879000.579476
/54321/drone001/attrs,TS2,1647879000.605221
/54321/drone001/attrs,TS2,1647879000.630722
/54321/drone001/attrs,TS2,1647879000.656399
/54321/drone001/attrs,TS2,1647879000.682019
/54321/drone001/attrs,TS2,1647879000.707511
/54321/drone001/attrs,TS2,1647879000.733084
/54321/drone001/attrs,TS2,1647879000.758641
/54321/drone001/attrs,TS2,1647879000.784986
/54321/drone001/attrs,TS2,1647879000.809936
/54321/drone001/attrs,TS2,1647879000.835554
