1647875791: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647875791: mosquitto version 2.0.14 starting
1647875791: Config loaded from /etc/mosquitto/mosquitto.conf.
1647875791: Opening ipv4 listen socket on port 1883.
1647875791: Opening ipv6 listen socket on port 1883.
1647875791: mosquitto version 2.0.14 running
1647875802: New connection from 130.188.160.11:50256 on port 1883.
1647875802: New client connected from 130.188.160.11:50256 as iotaul_99adb9b9 (p2, c1, k60, u'px4').
1647875823: New connection from 130.188.160.13:36449 on port 1883.
1647875823: New client connected from 130.188.160.13:36449 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647875802.924431
/54321/drone001/attrs,TS2,1647875823.147938
/54321/drone001/attrs,TS2,1647875823.150771
/54321/drone001/attrs,TS2,1647875823.154056
/54321/drone001/attrs,TS2,1647875823.157382
/54321/drone001/attrs,TS2,1647875823.160857
/54321/drone001/attrs,TS2,1647875823.164430
/54321/drone001/attrs,TS2,1647875823.167708
/54321/drone001/attrs,TS2,1647875823.171417
/54321/drone001/attrs,TS2,1647875823.175068
/54321/drone001/attrs,TS2,1647875823.178638
/54321/drone001/attrs,TS2,1647875823.182277
/54321/drone001/attrs,TS2,1647875823.185837
/54321/drone001/attrs,TS2,1647875823.189614
/54321/drone001/attrs,TS2,1647875823.193286
/54321/drone001/attrs,TS2,1647875823.196708
/54321/drone001/attrs,TS2,1647875823.200345
/54321/drone001/attrs,TS2,1647875823.203960
/54321/drone001/attrs,TS2,1647875823.207702
/54321/drone001/attrs,TS2,1647875823.211352
/54321/drone001/attrs,TS2,1647875823.214854
/54321/drone001/attrs,TS2,1647875823.218691
/54321/drone001/attrs,TS2,1647875823.222343
/54321/drone001/attrs,TS2,1647875823.226122
/54321/drone001/attrs,TS2,1647875823.229767
/54321/drone001/attrs,TS2,1647875823.233348
/54321/drone001/attrs,TS2,1647875823.236813
/54321/drone001/attrs,TS2,1647875823.240730
/54321/drone001/attrs,TS2,1647875823.244175
/54321/drone001/attrs,TS2,1647875823.248014
/54321/drone001/attrs,TS2,1647875823.251754
/54321/drone001/attrs,TS2,1647875823.255370
/54321/drone001/attrs,TS2,1647875823.258937
/54321/drone001/attrs,TS2,1647875823.262692
/54321/drone001/attrs,TS2,1647875823.266377
/54321/drone001/attrs,TS2,1647875823.270163
/54321/drone001/attrs,TS2,1647875823.273602
/54321/drone001/attrs,TS2,1647875823.277506
/54321/drone001/attrs,TS2,1647875823.281216
/54321/drone001/attrs,TS2,1647875823.284780
/54321/drone001/attrs,TS2,1647875823.288539
/54321/drone001/attrs,TS2,1647875823.291931
/54321/drone001/attrs,TS2,1647875823.295774
/54321/drone001/attrs,TS2,1647875823.299286
/54321/drone001/attrs,TS2,1647875823.302797
/54321/drone001/attrs,TS2,1647875823.306644
/54321/drone001/attrs,TS2,1647875823.310327
/54321/drone001/attrs,TS2,1647875823.313711
