1647876138: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647876138: mosquitto version 2.0.14 starting
1647876138: Config loaded from /etc/mosquitto/mosquitto.conf.
1647876138: Opening ipv4 listen socket on port 1883.
1647876138: Opening ipv6 listen socket on port 1883.
1647876138: mosquitto version 2.0.14 running
1647876185: New connection from 130.188.160.11:50258 on port 1883.
1647876185: New client connected from 130.188.160.11:50258 as iotaul_fb49a7fa (p2, c1, k60, u'px4').
1647876252: New connection from 130.188.160.13:54807 on port 1883.
1647876252: New client connected from 130.188.160.13:54807 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647876185.833728
/54321/drone001/attrs,TS2,1647876252.865553
/54321/drone001/attrs,TS2,1647876252.868796
/54321/drone001/attrs,TS2,1647876252.873289
/54321/drone001/attrs,TS2,1647876252.877939
/54321/drone001/attrs,TS2,1647876252.882379
/54321/drone001/attrs,TS2,1647876252.886864
/54321/drone001/attrs,TS2,1647876252.891941
/54321/drone001/attrs,TS2,1647876252.895788
/54321/drone001/attrs,TS2,1647876252.900104
/54321/drone001/attrs,TS2,1647876252.904486
/54321/drone001/attrs,TS2,1647876252.908967
/54321/drone001/attrs,TS2,1647876252.913452
/54321/drone001/attrs,TS2,1647876252.917993
/54321/drone001/attrs,TS2,1647876252.922572
/54321/drone001/attrs,TS2,1647876252.927130
/54321/drone001/attrs,TS2,1647876252.931594
/54321/drone001/attrs,TS2,1647876252.936004
/54321/drone001/attrs,TS2,1647876252.940332
/54321/drone001/attrs,TS2,1647876252.945241
/54321/drone001/attrs,TS2,1647876252.949979
/54321/drone001/attrs,TS2,1647876252.954446
/54321/drone001/attrs,TS2,1647876252.959229
/54321/drone001/attrs,TS2,1647876252.964034
/54321/drone001/attrs,TS2,1647876252.968715
/54321/drone001/attrs,TS2,1647876252.973165
/54321/drone001/attrs,TS2,1647876252.978080
/54321/drone001/attrs,TS2,1647876252.982749
/54321/drone001/attrs,TS2,1647876252.987518
/54321/drone001/attrs,TS2,1647876252.992109
/54321/drone001/attrs,TS2,1647876252.996871
/54321/drone001/attrs,TS2,1647876253.1524
/54321/drone001/attrs,TS2,1647876253.6132
/54321/drone001/attrs,TS2,1647876253.10616
/54321/drone001/attrs,TS2,1647876253.15487
/54321/drone001/attrs,TS2,1647876253.20203
/54321/drone001/attrs,TS2,1647876253.24869
/54321/drone001/attrs,TS2,1647876253.29597
/54321/drone001/attrs,TS2,1647876253.34262
/54321/drone001/attrs,TS2,1647876253.38738
/54321/drone001/attrs,TS2,1647876253.43585
/54321/drone001/attrs,TS2,1647876253.48330
/54321/drone001/attrs,TS2,1647876253.53048
/54321/drone001/attrs,TS2,1647876253.57493
/54321/drone001/attrs,TS2,1647876253.62116
/54321/drone001/attrs,TS2,1647876253.66772
/54321/drone001/attrs,TS2,1647876253.71254
/54321/drone001/attrs,TS2,1647876253.75919
/54321/drone001/attrs,TS2,1647876253.80401
/54321/drone001/attrs,TS2,1647876253.85264
/54321/drone001/attrs,TS2,1647876253.90054
/54321/drone001/attrs,TS2,1647876253.94711
/54321/drone001/attrs,TS2,1647876253.99370
/54321/drone001/attrs,TS2,1647876253.104004
/54321/drone001/attrs,TS2,1647876253.108738
/54321/drone001/attrs,TS2,1647876253.113488
/54321/drone001/attrs,TS2,1647876253.118142
/54321/drone001/attrs,TS2,1647876253.122776
/54321/drone001/attrs,TS2,1647876253.127504
/54321/drone001/attrs,TS2,1647876253.132169
/54321/drone001/attrs,TS2,1647876253.136797
/54321/drone001/attrs,TS2,1647876253.141488
/54321/drone001/attrs,TS2,1647876253.146072
/54321/drone001/attrs,TS2,1647876253.150561
/54321/drone001/attrs,TS2,1647876253.154915
/54321/drone001/attrs,TS2,1647876253.159736
/54321/drone001/attrs,TS2,1647876253.164404
/54321/drone001/attrs,TS2,1647876253.169145
/54321/drone001/attrs,TS2,1647876253.173691
/54321/drone001/attrs,TS2,1647876253.178372
/54321/drone001/attrs,TS2,1647876253.183051
/54321/drone001/attrs,TS2,1647876253.187672
/54321/drone001/attrs,TS2,1647876253.192405
/54321/drone001/attrs,TS2,1647876253.196994
/54321/drone001/attrs,TS2,1647876253.201563
/54321/drone001/attrs,TS2,1647876253.206015
/54321/drone001/attrs,TS2,1647876253.210612
/54321/drone001/attrs,TS2,1647876253.215292
/54321/drone001/attrs,TS2,1647876253.219977
/54321/drone001/attrs,TS2,1647876253.224547
/54321/drone001/attrs,TS2,1647876253.229211
/54321/drone001/attrs,TS2,1647876253.233714
/54321/drone001/attrs,TS2,1647876253.238551
/54321/drone001/attrs,TS2,1647876253.243151
