1647876538: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647876538: mosquitto version 2.0.14 starting
1647876538: Config loaded from /etc/mosquitto/mosquitto.conf.
1647876538: Opening ipv4 listen socket on port 1883.
1647876538: Opening ipv6 listen socket on port 1883.
1647876538: mosquitto version 2.0.14 running
1647876550: New connection from 130.188.160.11:50260 on port 1883.
1647876550: New client connected from 130.188.160.11:50260 as iotaul_441f184b (p2, c1, k60, u'px4').
1647876611: New connection from 130.188.160.13:42451 on port 1883.
1647876611: New client connected from 130.188.160.13:42451 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647876550.329510
/54321/drone001/attrs,TS2,1647876611.334915
/54321/drone001/attrs,TS2,1647876611.339853
/54321/drone001/attrs,TS2,1647876611.345151
/54321/drone001/attrs,TS2,1647876611.350500
/54321/drone001/attrs,TS2,1647876611.355827
/54321/drone001/attrs,TS2,1647876611.361145
/54321/drone001/attrs,TS2,1647876611.366535
/54321/drone001/attrs,TS2,1647876611.371940
/54321/drone001/attrs,TS2,1647876611.377488
/54321/drone001/attrs,TS2,1647876611.383039
/54321/drone001/attrs,TS2,1647876611.388536
/54321/drone001/attrs,TS2,1647876611.394118
/54321/drone001/attrs,TS2,1647876611.399530
/54321/drone001/attrs,TS2,1647876611.405094
/54321/drone001/attrs,TS2,1647876611.410560
/54321/drone001/attrs,TS2,1647876611.416032
/54321/drone001/attrs,TS2,1647876611.421610
/54321/drone001/attrs,TS2,1647876611.427244
/54321/drone001/attrs,TS2,1647876611.432548
/54321/drone001/attrs,TS2,1647876611.438271
/54321/drone001/attrs,TS2,1647876611.443873
/54321/drone001/attrs,TS2,1647876611.449240
/54321/drone001/attrs,TS2,1647876611.454992
/54321/drone001/attrs,TS2,1647876611.460483
/54321/drone001/attrs,TS2,1647876611.466169
/54321/drone001/attrs,TS2,1647876611.471678
/54321/drone001/attrs,TS2,1647876611.477179
/54321/drone001/attrs,TS2,1647876611.482817
/54321/drone001/attrs,TS2,1647876611.488330
/54321/drone001/attrs,TS2,1647876611.493917
/54321/drone001/attrs,TS2,1647876611.499357
/54321/drone001/attrs,TS2,1647876611.505088
/54321/drone001/attrs,TS2,1647876611.510450
/54321/drone001/attrs,TS2,1647876611.515962
/54321/drone001/attrs,TS2,1647876611.521601
/54321/drone001/attrs,TS2,1647876611.527143
/54321/drone001/attrs,TS2,1647876611.532723
/54321/drone001/attrs,TS2,1647876611.538163
/54321/drone001/attrs,TS2,1647876611.543902
/54321/drone001/attrs,TS2,1647876611.549400
/54321/drone001/attrs,TS2,1647876611.555052
/54321/drone001/attrs,TS2,1647876611.560620
/54321/drone001/attrs,TS2,1647876611.566122
/54321/drone001/attrs,TS2,1647876611.571689
/54321/drone001/attrs,TS2,1647876611.577189
/54321/drone001/attrs,TS2,1647876611.583204
/54321/drone001/attrs,TS2,1647876611.588786
/54321/drone001/attrs,TS2,1647876611.594357
/54321/drone001/attrs,TS2,1647876611.599877
/54321/drone001/attrs,TS2,1647876611.605445
/54321/drone001/attrs,TS2,1647876611.610952
/54321/drone001/attrs,TS2,1647876611.616533
/54321/drone001/attrs,TS2,1647876611.622129
/54321/drone001/attrs,TS2,1647876611.627692
/54321/drone001/attrs,TS2,1647876611.633203
/54321/drone001/attrs,TS2,1647876611.638841
/54321/drone001/attrs,TS2,1647876611.644374
/54321/drone001/attrs,TS2,1647876611.649867
/54321/drone001/attrs,TS2,1647876611.655622
/54321/drone001/attrs,TS2,1647876611.661168
/54321/drone001/attrs,TS2,1647876611.666685
/54321/drone001/attrs,TS2,1647876611.672293
/54321/drone001/attrs,TS2,1647876611.677858
/54321/drone001/attrs,TS2,1647876611.683433
/54321/drone001/attrs,TS2,1647876611.689027
/54321/drone001/attrs,TS2,1647876611.694584
/54321/drone001/attrs,TS2,1647876611.700074
/54321/drone001/attrs,TS2,1647876611.705760
/54321/drone001/attrs,TS2,1647876611.711321
/54321/drone001/attrs,TS2,1647876611.716790
/54321/drone001/attrs,TS2,1647876611.722322
/54321/drone001/attrs,TS2,1647876611.727797
/54321/drone001/attrs,TS2,1647876611.733303
/54321/drone001/attrs,TS2,1647876611.738856
/54321/drone001/attrs,TS2,1647876611.744400
/54321/drone001/attrs,TS2,1647876611.749986
/54321/drone001/attrs,TS2,1647876611.755580
/54321/drone001/attrs,TS2,1647876611.761093
/54321/drone001/attrs,TS2,1647876611.766736
/54321/drone001/attrs,TS2,1647876611.772293
/54321/drone001/attrs,TS2,1647876611.778500
/54321/drone001/attrs,TS2,1647876611.784117
/54321/drone001/attrs,TS2,1647876611.789635
/54321/drone001/attrs,TS2,1647876611.795257
/54321/drone001/attrs,TS2,1647876611.800817
/54321/drone001/attrs,TS2,1647876611.806376
/54321/drone001/attrs,TS2,1647876611.811879
/54321/drone001/attrs,TS2,1647876611.817402
/54321/drone001/attrs,TS2,1647876611.822950
/54321/drone001/attrs,TS2,1647876611.828517
/54321/drone001/attrs,TS2,1647876611.834006
/54321/drone001/attrs,TS2,1647876611.839671
/54321/drone001/attrs,TS2,1647876611.845097
/54321/drone001/attrs,TS2,1647876611.850521
/54321/drone001/attrs,TS2,1647876611.856107
/54321/drone001/attrs,TS2,1647876611.861647
/54321/drone001/attrs,TS2,1647876611.867119
/54321/drone001/attrs,TS2,1647876611.872691
/54321/drone001/attrs,TS2,1647876611.878192
/54321/drone001/attrs,TS2,1647876611.883783
/54321/drone001/attrs,TS2,1647876611.889324
/54321/drone001/attrs,TS2,1647876611.894861
/54321/drone001/attrs,TS2,1647876611.900974
/54321/drone001/attrs,TS2,1647876611.905963
/54321/drone001/attrs,TS2,1647876611.911421
/54321/drone001/attrs,TS2,1647876611.916969
/54321/drone001/attrs,TS2,1647876611.922259
/54321/drone001/attrs,TS2,1647876611.927755
/54321/drone001/attrs,TS2,1647876611.933154
/54321/drone001/attrs,TS2,1647876611.938523
/54321/drone001/attrs,TS2,1647876611.944004
/54321/drone001/attrs,TS2,1647876611.949579
/54321/drone001/attrs,TS2,1647876611.955016
/54321/drone001/attrs,TS2,1647876611.960620
/54321/drone001/attrs,TS2,1647876611.966027
/54321/drone001/attrs,TS2,1647876611.971658
/54321/drone001/attrs,TS2,1647876611.977197
/54321/drone001/attrs,TS2,1647876611.982725
/54321/drone001/attrs,TS2,1647876611.988323
/54321/drone001/attrs,TS2,1647876611.993932
/54321/drone001/attrs,TS2,1647876611.999581
/54321/drone001/attrs,TS2,1647876612.5143
/54321/drone001/attrs,TS2,1647876612.10784
/54321/drone001/attrs,TS2,1647876612.16286
/54321/drone001/attrs,TS2,1647876612.21873
/54321/drone001/attrs,TS2,1647876612.27288
/54321/drone001/attrs,TS2,1647876612.32992
/54321/drone001/attrs,TS2,1647876612.38905
/54321/drone001/attrs,TS2,1647876612.44417
/54321/drone001/attrs,TS2,1647876612.50065
/54321/drone001/attrs,TS2,1647876612.55600
/54321/drone001/attrs,TS2,1647876612.61086
/54321/drone001/attrs,TS2,1647876612.66556
/54321/drone001/attrs,TS2,1647876612.72188
/54321/drone001/attrs,TS2,1647876612.77766
/54321/drone001/attrs,TS2,1647876612.83366
/54321/drone001/attrs,TS2,1647876612.89055
/54321/drone001/attrs,TS2,1647876612.94421
/54321/drone001/attrs,TS2,1647876612.100054
/54321/drone001/attrs,TS2,1647876612.105651
/54321/drone001/attrs,TS2,1647876612.111152
/54321/drone001/attrs,TS2,1647876612.116711
/54321/drone001/attrs,TS2,1647876612.122330
/54321/drone001/attrs,TS2,1647876612.127895
/54321/drone001/attrs,TS2,1647876612.133403
