1647876873: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647876873: mosquitto version 2.0.14 starting
1647876873: Config loaded from /etc/mosquitto/mosquitto.conf.
1647876873: Opening ipv4 listen socket on port 1883.
1647876873: Opening ipv6 listen socket on port 1883.
1647876873: mosquitto version 2.0.14 running
1647876889: New connection from 130.188.160.11:50262 on port 1883.
1647876889: New client connected from 130.188.160.11:50262 as iotaul_5d5567fb (p2, c1, k60, u'px4').
1647876977: New connection from 130.188.160.13:39249 on port 1883.
1647876977: New client connected from 130.188.160.13:39249 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647876889.285191
/54321/drone001/attrs,TS2,1647876977.391964
/54321/drone001/attrs,TS2,1647876977.397858
/54321/drone001/attrs,TS2,1647876977.404345
/54321/drone001/attrs,TS2,1647876977.410825
/54321/drone001/attrs,TS2,1647876977.417274
/54321/drone001/attrs,TS2,1647876977.423687
/54321/drone001/attrs,TS2,1647876977.430218
/54321/drone001/attrs,TS2,1647876977.436742
/54321/drone001/attrs,TS2,1647876977.443246
/54321/drone001/attrs,TS2,1647876977.449819
/54321/drone001/attrs,TS2,1647876977.456322
/54321/drone001/attrs,TS2,1647876977.462882
/54321/drone001/attrs,TS2,1647876977.469434
/54321/drone001/attrs,TS2,1647876977.476001
/54321/drone001/attrs,TS2,1647876977.482420
/54321/drone001/attrs,TS2,1647876977.489054
/54321/drone001/attrs,TS2,1647876977.495578
/54321/drone001/attrs,TS2,1647876977.502146
/54321/drone001/attrs,TS2,1647876977.508718
/54321/drone001/attrs,TS2,1647876977.515271
/54321/drone001/attrs,TS2,1647876977.521800
/54321/drone001/attrs,TS2,1647876977.528204
/54321/drone001/attrs,TS2,1647876977.534785
/54321/drone001/attrs,TS2,1647876977.541573
/54321/drone001/attrs,TS2,1647876977.548063
/54321/drone001/attrs,TS2,1647876977.554670
/54321/drone001/attrs,TS2,1647876977.561186
/54321/drone001/attrs,TS2,1647876977.567811
/54321/drone001/attrs,TS2,1647876977.574305
/54321/drone001/attrs,TS2,1647876977.580986
/54321/drone001/attrs,TS2,1647876977.587398
/54321/drone001/attrs,TS2,1647876977.603493
/54321/drone001/attrs,TS2,1647876977.605813
/54321/drone001/attrs,TS2,1647876977.606856
/54321/drone001/attrs,TS2,1647876977.613513
/54321/drone001/attrs,TS2,1647876977.619966
/54321/drone001/attrs,TS2,1647876977.626590
/54321/drone001/attrs,TS2,1647876977.633132
/54321/drone001/attrs,TS2,1647876977.639699
/54321/drone001/attrs,TS2,1647876977.646238
/54321/drone001/attrs,TS2,1647876977.652793
/54321/drone001/attrs,TS2,1647876977.659337
/54321/drone001/attrs,TS2,1647876977.665833
/54321/drone001/attrs,TS2,1647876977.672483
/54321/drone001/attrs,TS2,1647876977.679036
/54321/drone001/attrs,TS2,1647876977.685613
/54321/drone001/attrs,TS2,1647876977.692160
/54321/drone001/attrs,TS2,1647876977.698684
/54321/drone001/attrs,TS2,1647876977.705332
/54321/drone001/attrs,TS2,1647876977.711834
/54321/drone001/attrs,TS2,1647876977.718399
/54321/drone001/attrs,TS2,1647876977.725030
/54321/drone001/attrs,TS2,1647876977.731437
/54321/drone001/attrs,TS2,1647876977.738093
/54321/drone001/attrs,TS2,1647876977.744608
/54321/drone001/attrs,TS2,1647876977.751089
/54321/drone001/attrs,TS2,1647876977.757685
/54321/drone001/attrs,TS2,1647876977.764197
/54321/drone001/attrs,TS2,1647876977.770712
/54321/drone001/attrs,TS2,1647876977.777284
/54321/drone001/attrs,TS2,1647876977.783887
/54321/drone001/attrs,TS2,1647876977.790442
/54321/drone001/attrs,TS2,1647876977.797038
/54321/drone001/attrs,TS2,1647876977.803563
/54321/drone001/attrs,TS2,1647876977.810037
/54321/drone001/attrs,TS2,1647876977.816662
/54321/drone001/attrs,TS2,1647876977.823128
/54321/drone001/attrs,TS2,1647876977.829737
/54321/drone001/attrs,TS2,1647876977.836350
/54321/drone001/attrs,TS2,1647876977.842854
/54321/drone001/attrs,TS2,1647876977.849341
/54321/drone001/attrs,TS2,1647876977.856046
/54321/drone001/attrs,TS2,1647876977.862615
/54321/drone001/attrs,TS2,1647876977.869145
/54321/drone001/attrs,TS2,1647876977.875610
/54321/drone001/attrs,TS2,1647876977.882052
/54321/drone001/attrs,TS2,1647876977.888723
/54321/drone001/attrs,TS2,1647876977.895257
/54321/drone001/attrs,TS2,1647876977.901789
/54321/drone001/attrs,TS2,1647876977.908408
/54321/drone001/attrs,TS2,1647876977.914805
/54321/drone001/attrs,TS2,1647876977.921497
/54321/drone001/attrs,TS2,1647876977.928002
/54321/drone001/attrs,TS2,1647876977.934573
/54321/drone001/attrs,TS2,1647876977.941205
/54321/drone001/attrs,TS2,1647876977.948247
/54321/drone001/attrs,TS2,1647876977.954178
/54321/drone001/attrs,TS2,1647876977.960957
/54321/drone001/attrs,TS2,1647876977.967157
/54321/drone001/attrs,TS2,1647876977.973958
/54321/drone001/attrs,TS2,1647876977.980539
/54321/drone001/attrs,TS2,1647876977.987048
/54321/drone001/attrs,TS2,1647876977.993631
/54321/drone001/attrs,TS2,1647876978.170
/54321/drone001/attrs,TS2,1647876978.6733
/54321/drone001/attrs,TS2,1647876978.14067
/54321/drone001/attrs,TS2,1647876978.20421
/54321/drone001/attrs,TS2,1647876978.26912
/54321/drone001/attrs,TS2,1647876978.33518
/54321/drone001/attrs,TS2,1647876978.40112
/54321/drone001/attrs,TS2,1647876978.50410
/54321/drone001/attrs,TS2,1647876978.57104
/54321/drone001/attrs,TS2,1647876978.63655
/54321/drone001/attrs,TS2,1647876978.70288
/54321/drone001/attrs,TS2,1647876978.76781
/54321/drone001/attrs,TS2,1647876978.83312
/54321/drone001/attrs,TS2,1647876978.89823
/54321/drone001/attrs,TS2,1647876978.96447
/54321/drone001/attrs,TS2,1647876978.103049
/54321/drone001/attrs,TS2,1647876978.109599
/54321/drone001/attrs,TS2,1647876978.116061
/54321/drone001/attrs,TS2,1647876978.122568
/54321/drone001/attrs,TS2,1647876978.129229
/54321/drone001/attrs,TS2,1647876978.135765
/54321/drone001/attrs,TS2,1647876978.142354
/54321/drone001/attrs,TS2,1647876978.148950
/54321/drone001/attrs,TS2,1647876978.155427
/54321/drone001/attrs,TS2,1647876978.162001
/54321/drone001/attrs,TS2,1647876978.168739
/54321/drone001/attrs,TS2,1647876978.175124
/54321/drone001/attrs,TS2,1647876978.181691
/54321/drone001/attrs,TS2,1647876978.188411
/54321/drone001/attrs,TS2,1647876978.194912
/54321/drone001/attrs,TS2,1647876978.201485
/54321/drone001/attrs,TS2,1647876978.208034
/54321/drone001/attrs,TS2,1647876978.214551
/54321/drone001/attrs,TS2,1647876978.221049
/54321/drone001/attrs,TS2,1647876978.227628
/54321/drone001/attrs,TS2,1647876978.233996
/54321/drone001/attrs,TS2,1647876978.240709
/54321/drone001/attrs,TS2,1647876978.247240
/54321/drone001/attrs,TS2,1647876978.253758
/54321/drone001/attrs,TS2,1647876978.260327
/54321/drone001/attrs,TS2,1647876978.266944
/54321/drone001/attrs,TS2,1647876978.274190
/54321/drone001/attrs,TS2,1647876978.280065
/54321/drone001/attrs,TS2,1647876978.286570
/54321/drone001/attrs,TS2,1647876978.293171
/54321/drone001/attrs,TS2,1647876978.299677
/54321/drone001/attrs,TS2,1647876978.306223
/54321/drone001/attrs,TS2,1647876978.312849
/54321/drone001/attrs,TS2,1647876978.319333
/54321/drone001/attrs,TS2,1647876978.325930
/54321/drone001/attrs,TS2,1647876978.332441
/54321/drone001/attrs,TS2,1647876978.339658
/54321/drone001/attrs,TS2,1647876978.346038
/54321/drone001/attrs,TS2,1647876978.352600
/54321/drone001/attrs,TS2,1647876978.359173
/54321/drone001/attrs,TS2,1647876978.374600
/54321/drone001/attrs,TS2,1647876978.375515
/54321/drone001/attrs,TS2,1647876978.378637
