1647877189: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647877189: mosquitto version 2.0.14 starting
1647877189: Config loaded from /etc/mosquitto/mosquitto.conf.
1647877189: Opening ipv4 listen socket on port 1883.
1647877189: Opening ipv6 listen socket on port 1883.
1647877189: mosquitto version 2.0.14 running
1647877201: New connection from 130.188.160.11:50264 on port 1883.
1647877201: New client connected from 130.188.160.11:50264 as iotaul_34babe93 (p2, c1, k60, u'px4').
1647877239: New connection from 130.188.160.13:47495 on port 1883.
1647877239: New client connected from 130.188.160.13:47495 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647877201.808133
/54321/drone001/attrs,TS2,1647877239.488483
/54321/drone001/attrs,TS2,1647877239.495455
/54321/drone001/attrs,TS2,1647877239.502808
/54321/drone001/attrs,TS2,1647877239.510226
/54321/drone001/attrs,TS2,1647877239.517775
/54321/drone001/attrs,TS2,1647877239.525311
/54321/drone001/attrs,TS2,1647877239.532959
/54321/drone001/attrs,TS2,1647877239.540425
/54321/drone001/attrs,TS2,1647877239.548006
/54321/drone001/attrs,TS2,1647877239.555577
/54321/drone001/attrs,TS2,1647877239.563141
/54321/drone001/attrs,TS2,1647877239.570827
/54321/drone001/attrs,TS2,1647877239.578257
/54321/drone001/attrs,TS2,1647877239.585807
/54321/drone001/attrs,TS2,1647877239.593242
/54321/drone001/attrs,TS2,1647877239.600728
/54321/drone001/attrs,TS2,1647877239.608368
/54321/drone001/attrs,TS2,1647877239.615953
/54321/drone001/attrs,TS2,1647877239.623559
/54321/drone001/attrs,TS2,1647877239.631102
/54321/drone001/attrs,TS2,1647877239.638509
/54321/drone001/attrs,TS2,1647877239.645855
/54321/drone001/attrs,TS2,1647877239.656339
/54321/drone001/attrs,TS2,1647877239.665253
/54321/drone001/attrs,TS2,1647877239.672335
/54321/drone001/attrs,TS2,1647877239.679834
/54321/drone001/attrs,TS2,1647877239.687521
/54321/drone001/attrs,TS2,1647877239.695046
/54321/drone001/attrs,TS2,1647877239.702594
/54321/drone001/attrs,TS2,1647877239.710152
/54321/drone001/attrs,TS2,1647877239.717699
/54321/drone001/attrs,TS2,1647877239.725028
/54321/drone001/attrs,TS2,1647877239.732724
/54321/drone001/attrs,TS2,1647877239.740403
/54321/drone001/attrs,TS2,1647877239.747978
/54321/drone001/attrs,TS2,1647877239.755523
/54321/drone001/attrs,TS2,1647877239.763063
/54321/drone001/attrs,TS2,1647877239.770694
/54321/drone001/attrs,TS2,1647877239.778112
/54321/drone001/attrs,TS2,1647877239.785571
/54321/drone001/attrs,TS2,1647877239.793268
/54321/drone001/attrs,TS2,1647877239.800950
/54321/drone001/attrs,TS2,1647877239.808376
/54321/drone001/attrs,TS2,1647877239.816023
/54321/drone001/attrs,TS2,1647877239.823558
/54321/drone001/attrs,TS2,1647877239.831018
/54321/drone001/attrs,TS2,1647877239.838404
/54321/drone001/attrs,TS2,1647877239.846103
/54321/drone001/attrs,TS2,1647877239.853669
/54321/drone001/attrs,TS2,1647877239.861113
/54321/drone001/attrs,TS2,1647877239.868574
/54321/drone001/attrs,TS2,1647877239.876190
/54321/drone001/attrs,TS2,1647877239.883749
/54321/drone001/attrs,TS2,1647877239.891304
/54321/drone001/attrs,TS2,1647877239.898845
/54321/drone001/attrs,TS2,1647877239.906384
/54321/drone001/attrs,TS2,1647877239.913913
/54321/drone001/attrs,TS2,1647877239.921438
/54321/drone001/attrs,TS2,1647877239.928888
/54321/drone001/attrs,TS2,1647877239.936327
/54321/drone001/attrs,TS2,1647877239.943990
/54321/drone001/attrs,TS2,1647877239.951422
/54321/drone001/attrs,TS2,1647877239.958937
/54321/drone001/attrs,TS2,1647877239.966407
/54321/drone001/attrs,TS2,1647877239.973758
/54321/drone001/attrs,TS2,1647877239.981213
/54321/drone001/attrs,TS2,1647877239.988724
/54321/drone001/attrs,TS2,1647877239.996277
/54321/drone001/attrs,TS2,1647877240.3933
/54321/drone001/attrs,TS2,1647877240.11404
/54321/drone001/attrs,TS2,1647877240.18859
/54321/drone001/attrs,TS2,1647877240.26512
/54321/drone001/attrs,TS2,1647877240.34095
/54321/drone001/attrs,TS2,1647877240.41690
/54321/drone001/attrs,TS2,1647877240.49236
/54321/drone001/attrs,TS2,1647877240.56746
/54321/drone001/attrs,TS2,1647877240.64383
/54321/drone001/attrs,TS2,1647877240.71946
/54321/drone001/attrs,TS2,1647877240.79547
/54321/drone001/attrs,TS2,1647877240.87009
/54321/drone001/attrs,TS2,1647877240.94632
/54321/drone001/attrs,TS2,1647877240.102164
/54321/drone001/attrs,TS2,1647877240.110174
/54321/drone001/attrs,TS2,1647877240.117842
/54321/drone001/attrs,TS2,1647877240.125382
/54321/drone001/attrs,TS2,1647877240.133008
/54321/drone001/attrs,TS2,1647877240.140527
/54321/drone001/attrs,TS2,1647877240.148127
/54321/drone001/attrs,TS2,1647877240.155716
/54321/drone001/attrs,TS2,1647877240.163230
/54321/drone001/attrs,TS2,1647877240.170766
/54321/drone001/attrs,TS2,1647877240.178266
/54321/drone001/attrs,TS2,1647877240.186401
/54321/drone001/attrs,TS2,1647877240.193494
/54321/drone001/attrs,TS2,1647877240.200888
/54321/drone001/attrs,TS2,1647877240.208618
/54321/drone001/attrs,TS2,1647877240.216196
/54321/drone001/attrs,TS2,1647877240.223728
/54321/drone001/attrs,TS2,1647877240.231240
/54321/drone001/attrs,TS2,1647877240.238911
/54321/drone001/attrs,TS2,1647877240.246499
/54321/drone001/attrs,TS2,1647877240.254094
/54321/drone001/attrs,TS2,1647877240.261633
/54321/drone001/attrs,TS2,1647877240.269172
/54321/drone001/attrs,TS2,1647877240.276625
/54321/drone001/attrs,TS2,1647877240.284125
/54321/drone001/attrs,TS2,1647877240.291663
/54321/drone001/attrs,TS2,1647877240.299217
/54321/drone001/attrs,TS2,1647877240.306823
/54321/drone001/attrs,TS2,1647877240.314361
/54321/drone001/attrs,TS2,1647877240.321828
/54321/drone001/attrs,TS2,1647877240.329568
/54321/drone001/attrs,TS2,1647877240.337079
/54321/drone001/attrs,TS2,1647877240.344611
/54321/drone001/attrs,TS2,1647877240.352060
/54321/drone001/attrs,TS2,1647877240.359696
/54321/drone001/attrs,TS2,1647877240.367268
/54321/drone001/attrs,TS2,1647877240.374883
/54321/drone001/attrs,TS2,1647877240.382304
/54321/drone001/attrs,TS2,1647877240.389826
/54321/drone001/attrs,TS2,1647877240.397979
/54321/drone001/attrs,TS2,1647877240.405443
/54321/drone001/attrs,TS2,1647877240.413114
/54321/drone001/attrs,TS2,1647877240.420580
