1647877505: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647877505: mosquitto version 2.0.14 starting
1647877505: Config loaded from /etc/mosquitto/mosquitto.conf.
1647877505: Opening ipv4 listen socket on port 1883.
1647877505: Opening ipv6 listen socket on port 1883.
1647877505: mosquitto version 2.0.14 running
1647877525: New connection from 130.188.160.11:50266 on port 1883.
1647877525: New client connected from 130.188.160.11:50266 as iotaul_2a3a23ba (p2, c1, k60, u'px4').
1647877559: New connection from 130.188.160.13:33369 on port 1883.
1647877559: New client connected from 130.188.160.13:33369 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647877525.531178
/54321/drone001/attrs,TS2,1647877559.938268
/54321/drone001/attrs,TS2,1647877559.946190
/54321/drone001/attrs,TS2,1647877559.954539
/54321/drone001/attrs,TS2,1647877559.963027
/54321/drone001/attrs,TS2,1647877559.971598
/54321/drone001/attrs,TS2,1647877559.980206
/54321/drone001/attrs,TS2,1647877559.988762
/54321/drone001/attrs,TS2,1647877559.997219
/54321/drone001/attrs,TS2,1647877560.5779
/54321/drone001/attrs,TS2,1647877560.14577
/54321/drone001/attrs,TS2,1647877560.22754
/54321/drone001/attrs,TS2,1647877560.31156
/54321/drone001/attrs,TS2,1647877560.39753
/54321/drone001/attrs,TS2,1647877560.48400
/54321/drone001/attrs,TS2,1647877560.56821
/54321/drone001/attrs,TS2,1647877560.65570
/54321/drone001/attrs,TS2,1647877560.74139
/54321/drone001/attrs,TS2,1647877560.82725
/54321/drone001/attrs,TS2,1647877560.91240
/54321/drone001/attrs,TS2,1647877560.99746
/54321/drone001/attrs,TS2,1647877560.108303
/54321/drone001/attrs,TS2,1647877560.116967
/54321/drone001/attrs,TS2,1647877560.125511
/54321/drone001/attrs,TS2,1647877560.134058
/54321/drone001/attrs,TS2,1647877560.142635
/54321/drone001/attrs,TS2,1647877560.151016
/54321/drone001/attrs,TS2,1647877560.159539
/54321/drone001/attrs,TS2,1647877560.168055
/54321/drone001/attrs,TS2,1647877560.176678
/54321/drone001/attrs,TS2,1647877560.185259
/54321/drone001/attrs,TS2,1647877560.193881
/54321/drone001/attrs,TS2,1647877560.202516
/54321/drone001/attrs,TS2,1647877560.211080
/54321/drone001/attrs,TS2,1647877560.219640
/54321/drone001/attrs,TS2,1647877560.228702
/54321/drone001/attrs,TS2,1647877560.236809
/54321/drone001/attrs,TS2,1647877560.245344
/54321/drone001/attrs,TS2,1647877560.253837
/54321/drone001/attrs,TS2,1647877560.262562
/54321/drone001/attrs,TS2,1647877560.271168
/54321/drone001/attrs,TS2,1647877560.279678
/54321/drone001/attrs,TS2,1647877560.288106
/54321/drone001/attrs,TS2,1647877560.296565
/54321/drone001/attrs,TS2,1647877560.305257
/54321/drone001/attrs,TS2,1647877560.313865
/54321/drone001/attrs,TS2,1647877560.322358
/54321/drone001/attrs,TS2,1647877560.330965
/54321/drone001/attrs,TS2,1647877560.339351
/54321/drone001/attrs,TS2,1647877560.348003
/54321/drone001/attrs,TS2,1647877560.356607
/54321/drone001/attrs,TS2,1647877560.365172
/54321/drone001/attrs,TS2,1647877560.373702
/54321/drone001/attrs,TS2,1647877560.382246
/54321/drone001/attrs,TS2,1647877560.390814
/54321/drone001/attrs,TS2,1647877560.399276
/54321/drone001/attrs,TS2,1647877560.407625
/54321/drone001/attrs,TS2,1647877560.416111
/54321/drone001/attrs,TS2,1647877560.424795
/54321/drone001/attrs,TS2,1647877560.433103
/54321/drone001/attrs,TS2,1647877560.441629
/54321/drone001/attrs,TS2,1647877560.450024
/54321/drone001/attrs,TS2,1647877560.458544
/54321/drone001/attrs,TS2,1647877560.466960
/54321/drone001/attrs,TS2,1647877560.475301
/54321/drone001/attrs,TS2,1647877560.483896
/54321/drone001/attrs,TS2,1647877560.492445
/54321/drone001/attrs,TS2,1647877560.500879
/54321/drone001/attrs,TS2,1647877560.509429
/54321/drone001/attrs,TS2,1647877560.517825
/54321/drone001/attrs,TS2,1647877560.526318
/54321/drone001/attrs,TS2,1647877560.534993
/54321/drone001/attrs,TS2,1647877560.543610
/54321/drone001/attrs,TS2,1647877560.551939
/54321/drone001/attrs,TS2,1647877560.560551
/54321/drone001/attrs,TS2,1647877560.568928
/54321/drone001/attrs,TS2,1647877560.577494
/54321/drone001/attrs,TS2,1647877560.586224
/54321/drone001/attrs,TS2,1647877560.594659
/54321/drone001/attrs,TS2,1647877560.603308
/54321/drone001/attrs,TS2,1647877560.611936
/54321/drone001/attrs,TS2,1647877560.620534
/54321/drone001/attrs,TS2,1647877560.629119
/54321/drone001/attrs,TS2,1647877560.637624
/54321/drone001/attrs,TS2,1647877560.646252
/54321/drone001/attrs,TS2,1647877560.654861
/54321/drone001/attrs,TS2,1647877560.663434
/54321/drone001/attrs,TS2,1647877560.671996
/54321/drone001/attrs,TS2,1647877560.680570
/54321/drone001/attrs,TS2,1647877560.689194
/54321/drone001/attrs,TS2,1647877560.697682
/54321/drone001/attrs,TS2,1647877560.706276
/54321/drone001/attrs,TS2,1647877560.714864
/54321/drone001/attrs,TS2,1647877560.723590
/54321/drone001/attrs,TS2,1647877560.731999
/54321/drone001/attrs,TS2,1647877560.750388
/54321/drone001/attrs,TS2,1647877560.750999
/54321/drone001/attrs,TS2,1647877560.757439
/54321/drone001/attrs,TS2,1647877560.766170
/54321/drone001/attrs,TS2,1647877560.774723
/54321/drone001/attrs,TS2,1647877560.783310
/54321/drone001/attrs,TS2,1647877560.791845
/54321/drone001/attrs,TS2,1647877560.800499
/54321/drone001/attrs,TS2,1647877560.810095
/54321/drone001/attrs,TS2,1647877560.817456
/54321/drone001/attrs,TS2,1647877560.826153
/54321/drone001/attrs,TS2,1647877560.834700
/54321/drone001/attrs,TS2,1647877560.843205
/54321/drone001/attrs,TS2,1647877560.851794
/54321/drone001/attrs,TS2,1647877560.860322
/54321/drone001/attrs,TS2,1647877560.868930
/54321/drone001/attrs,TS2,1647877560.877492
/54321/drone001/attrs,TS2,1647877560.886079
/54321/drone001/attrs,TS2,1647877560.894560
/54321/drone001/attrs,TS2,1647877560.903091
/54321/drone001/attrs,TS2,1647877560.911674
/54321/drone001/attrs,TS2,1647877560.920179
/54321/drone001/attrs,TS2,1647877560.928805
/54321/drone001/attrs,TS2,1647877560.937367
/54321/drone001/attrs,TS2,1647877560.946639
/54321/drone001/attrs,TS2,1647877560.954488
/54321/drone001/attrs,TS2,1647877560.963147
/54321/drone001/attrs,TS2,1647877560.971498
/54321/drone001/attrs,TS2,1647877560.980261
/54321/drone001/attrs,TS2,1647877560.988792
/54321/drone001/attrs,TS2,1647877560.997342
/54321/drone001/attrs,TS2,1647877561.6006
/54321/drone001/attrs,TS2,1647877561.14525
/54321/drone001/attrs,TS2,1647877561.23074
/54321/drone001/attrs,TS2,1647877561.31666
/54321/drone001/attrs,TS2,1647877561.40187
/54321/drone001/attrs,TS2,1647877561.48779
/54321/drone001/attrs,TS2,1647877561.57312
/54321/drone001/attrs,TS2,1647877561.65874
/54321/drone001/attrs,TS2,1647877561.74429
/54321/drone001/attrs,TS2,1647877561.82929
/54321/drone001/attrs,TS2,1647877561.91551
/54321/drone001/attrs,TS2,1647877561.100090
/54321/drone001/attrs,TS2,1647877561.108635
/54321/drone001/attrs,TS2,1647877561.117169
/54321/drone001/attrs,TS2,1647877561.125773
/54321/drone001/attrs,TS2,1647877561.134376
/54321/drone001/attrs,TS2,1647877561.142835
/54321/drone001/attrs,TS2,1647877561.151479
/54321/drone001/attrs,TS2,1647877561.160041
/54321/drone001/attrs,TS2,1647877561.168529
/54321/drone001/attrs,TS2,1647877561.177220
/54321/drone001/attrs,TS2,1647877561.185324
/54321/drone001/attrs,TS2,1647877561.194097
/54321/drone001/attrs,TS2,1647877561.202764
/54321/drone001/attrs,TS2,1647877561.211348
/54321/drone001/attrs,TS2,1647877561.219996
/54321/drone001/attrs,TS2,1647877561.228367
/54321/drone001/attrs,TS2,1647877561.237062
/54321/drone001/attrs,TS2,1647877561.245575
/54321/drone001/attrs,TS2,1647877561.254240
/54321/drone001/attrs,TS2,1647877561.262744
/54321/drone001/attrs,TS2,1647877561.271894
/54321/drone001/attrs,TS2,1647877561.279881
/54321/drone001/attrs,TS2,1647877561.288395
/54321/drone001/attrs,TS2,1647877561.297059
/54321/drone001/attrs,TS2,1647877561.305569
/54321/drone001/attrs,TS2,1647877561.314265
/54321/drone001/attrs,TS2,1647877561.322707
/54321/drone001/attrs,TS2,1647877561.331433
/54321/drone001/attrs,TS2,1647877561.340033
/54321/drone001/attrs,TS2,1647877561.348582
/54321/drone001/attrs,TS2,1647877561.357126
/54321/drone001/attrs,TS2,1647877561.365701
/54321/drone001/attrs,TS2,1647877561.374233
/54321/drone001/attrs,TS2,1647877561.382739
/54321/drone001/attrs,TS2,1647877561.391082
/54321/drone001/attrs,TS2,1647877561.399939
/54321/drone001/attrs,TS2,1647877561.408531
/54321/drone001/attrs,TS2,1647877561.417097
/54321/drone001/attrs,TS2,1647877561.425538
/54321/drone001/attrs,TS2,1647877561.434052
/54321/drone001/attrs,TS2,1647877561.442926
/54321/drone001/attrs,TS2,1647877561.451552
/54321/drone001/attrs,TS2,1647877561.460036
/54321/drone001/attrs,TS2,1647877561.468521
/54321/drone001/attrs,TS2,1647877561.477157
/54321/drone001/attrs,TS2,1647877561.485779
/54321/drone001/attrs,TS2,1647877561.494241
/54321/drone001/attrs,TS2,1647877561.502765
/54321/drone001/attrs,TS2,1647877561.511328
/54321/drone001/attrs,TS2,1647877561.519618
/54321/drone001/attrs,TS2,1647877561.528425
/54321/drone001/attrs,TS2,1647877561.537095
