1647877785.996296
1647877785.9963286
1647877785.996331
TS1:1647877820.1465251,TS6:1647877820.4440978,lat5:297.5726127624512
TS1:1647877820.1652856,TS6:1647877820.4782457,lat5:312.960147857666
TS1:1647877820.2033992,TS6:1647877820.4844093,lat5:281.0101509094238
TS1:1647877820.2226365,TS6:1647877820.4857733,lat5:263.1368637084961
TS1:1647877820.193812,TS6:1647877820.488501,lat5:294.6891784667969
TS1:1647877820.1748824,TS6:1647877820.4913564,lat5:316.47396087646484
TS1:1647877820.1842904,TS6:1647877820.4940958,lat5:309.80539321899414
TS1:1647877820.15584,TS6:1647877820.4972358,lat5:341.3958549499512
TS1:1647877820.2130084,TS6:1647877820.5008276,lat5:287.81914710998535
TS1:1647877820.24182,TS6:1647877820.5298455,lat5:288.0253791809082
TS1:1647877820.23219,TS6:1647877820.5334134,lat5:301.2235164642334
TS1:1647877820.251485,TS6:1647877820.5367541,lat5:285.26902198791504
TS1:1647877820.2611256,TS6:1647877820.6027122,lat5:341.5865898132324
TS1:1647877820.2707582,TS6:1647877820.6080616,lat5:337.30340003967285
TS1:1647877820.280396,TS6:1647877820.614292,lat5:333.8959217071533
TS1:1647877820.2900407,TS6:1647877820.6552358,lat5:365.19503593444824
TS1:1647877820.3380604,TS6:1647877820.6589594,lat5:320.89900970458984
TS1:1647877820.3189838,TS6:1647877820.663767,lat5:344.7833061218262
TS1:1647877820.2997313,TS6:1647877820.6677668,lat5:368.03555488586426
TS1:1647877820.3093424,TS6:1647877820.6710668,lat5:361.7243766784668
TS1:1647877820.328583,TS6:1647877820.6946504,lat5:366.06740951538086
TS1:1647877820.3668485,TS6:1647877820.6954882,lat5:328.6397457122803
TS1:1647877820.3860505,TS6:1647877820.6983776,lat5:312.32714653015137
TS1:1647877820.3476782,TS6:1647877820.708545,lat5:360.8667850494385
TS1:1647877820.357269,TS6:1647877820.7106802,lat5:353.4111976623535
TS1:1647877820.3764513,TS6:1647877820.7134926,lat5:337.04137802124023
TS1:1647877820.4052784,TS6:1647877820.7168794,lat5:311.600923538208
TS1:1647877820.3956473,TS6:1647877820.7210631,lat5:325.41584968566895
TS1:1647877820.4149616,TS6:1647877820.752958,lat5:337.9964828491211
TS1:1647877820.4245932,TS6:1647877820.7583206,lat5:333.7273597717285
TS1:1647877820.4825826,TS6:1647877820.7863505,lat5:303.7679195404053
TS1:1647877820.502104,TS6:1647877820.7926507,lat5:290.5466556549072
TS1:1647877820.4728377,TS6:1647877820.7932622,lat5:320.42455673217773
TS1:1647877820.453551,TS6:1647877820.7963657,lat5:342.81468391418457
TS1:1647877820.434204,TS6:1647877820.8002763,lat5:366.0721778869629
TS1:1647877820.4632013,TS6:1647877820.8033571,lat5:340.15583992004395
TS1:1647877820.4438312,TS6:1647877820.8057928,lat5:361.96160316467285
TS1:1647877820.492324,TS6:1647877820.8112502,lat5:318.9260959625244
TS1:1647877820.5409102,TS6:1647877820.8333817,lat5:292.47140884399414
TS1:1647877820.5118766,TS6:1647877820.83721,lat5:325.3333568572998
TS1:1647877820.5506036,TS6:1647877820.8403084,lat5:289.7047996520996
TS1:1647877820.5311875,TS6:1647877820.8409064,lat5:309.7188472747803
TS1:1647877820.52155,TS6:1647877820.8433394,lat5:321.7895030975342
TS1:1647877820.5602274,TS6:1647877820.868526,lat5:308.29858779907227
TS1:1647877820.6084836,TS6:1647877820.873198,lat5:264.71447944641113
TS1:1647877820.5891278,TS6:1647877820.8767743,lat5:287.6465320587158
TS1:1647877820.5698578,TS6:1647877820.879575,lat5:309.71717834472656
TS1:1647877820.5795023,TS6:1647877820.8836372,lat5:304.1348457336426
TS1:1647877820.5987384,TS6:1647877820.8868914,lat5:288.15293312072754
TS1:1647877820.6181903,TS6:1647877820.8894782,lat5:271.2879180908203
TS1:1647877820.6279025,TS6:1647877820.9117677,lat5:283.86521339416504
TS1:1647877820.675824,TS6:1647877820.9413507,lat5:265.52677154541016
TS1:1647877820.6854362,TS6:1647877820.948428,lat5:262.99166679382324
TS1:1647877820.7145114,TS6:1647877820.953094,lat5:238.58261108398438
TS1:1647877820.6566782,TS6:1647877820.9560504,lat5:299.37219619750977
TS1:1647877820.6470935,TS6:1647877820.960393,lat5:313.29941749572754
TS1:1647877820.6662848,TS6:1647877820.9640477,lat5:297.7628707885742
TS1:1647877820.6375377,TS6:1647877820.967593,lat5:330.05523681640625
TS1:1647877820.6950543,TS6:1647877820.9765837,lat5:281.52942657470703
TS1:1647877820.724201,TS6:1647877820.9844964,lat5:260.2953910827637
TS1:1647877820.7047698,TS6:1647877820.985441,lat5:280.6711196899414
TS1:1647877820.733929,TS6:1647877821.0029442,lat5:269.0153121948242
TS1:1647877820.7630243,TS6:1647877821.0071013,lat5:244.07696723937988
TS1:1647877820.7436056,TS6:1647877821.010334,lat5:266.72840118408203
TS1:1647877820.7532687,TS6:1647877821.0108213,lat5:257.5526237487793
TS1:1647877820.772746,TS6:1647877821.025184,lat5:252.43782997131348
TS1:1647877820.81163,TS6:1647877821.0284705,lat5:216.8405055999756
TS1:1647877820.80188,TS6:1647877821.0330079,lat5:231.12797737121582
TS1:1647877820.7921374,TS6:1647877821.0351608,lat5:243.02339553833008
TS1:1647877820.7824073,TS6:1647877821.035608,lat5:253.20076942443848
TS1:1647877820.8213727,TS6:1647877821.0483797,lat5:227.0069122314453
TS1:1647877820.8310945,TS6:1647877821.0530622,lat5:221.9676971435547
TS1:1647877820.8408017,TS6:1647877821.055895,lat5:215.09337425231934
TS1:1647877820.8505883,TS6:1647877821.0589542,lat5:208.36591720581055
TS1:1647877820.860315,TS6:1647877821.0713623,lat5:211.04717254638672
TS1:1647877820.8700764,TS6:1647877821.0784717,lat5:208.39524269104004
TS1:1647877820.8896258,TS6:1647877821.0814202,lat5:191.79439544677734
TS1:1647877820.8798535,TS6:1647877821.0886884,lat5:208.83488655090332
TS1:1647877820.9090002,TS6:1647877821.0905776,lat5:181.5774440765381
TS1:1647877820.8992813,TS6:1647877821.0962167,lat5:196.93541526794434
TS1:1647877820.928482,TS6:1647877821.1004076,lat5:171.92554473876953
TS1:1647877820.9478798,TS6:1647877821.1078494,lat5:159.96956825256348
TS1:1647877820.918754,TS6:1647877821.1094978,lat5:190.74368476867676
TS1:1647877820.957599,TS6:1647877821.1159005,lat5:158.30159187316895
TS1:1647877820.9381614,TS6:1647877821.119637,lat5:181.47563934326172
TS1:1647877820.967349,TS6:1647877821.122002,lat5:154.65283393859863
TS1:1647877820.9869494,TS6:1647877821.1299064,lat5:142.95697212219238
TS1:1647877820.977155,TS6:1647877821.1352954,lat5:158.1404209136963
TS1:1647877820.996709,TS6:1647877821.1396105,lat5:142.90142059326172
TS1:1647877821.0065424,TS6:1647877821.1456356,lat5:139.09316062927246
TS1:1647877821.026134,TS6:1647877821.1538076,lat5:127.67362594604492
TS1:1647877821.016333,TS6:1647877821.156904,lat5:140.57087898254395
TS1:1647877821.045756,TS6:1647877821.171097,lat5:125.34093856811523
TS1:1647877821.0751455,TS6:1647877821.175454,lat5:100.30841827392578
TS1:1647877821.055542,TS6:1647877821.1779852,lat5:122.44319915771484
TS1:1647877821.0359557,TS6:1647877821.1784902,lat5:142.5344944000244
TS1:1647877821.0849383,TS6:1647877821.1875522,lat5:102.61392593383789
TS1:1647877821.065325,TS6:1647877821.1890965,lat5:123.77142906188965
TS1:1647877821.0947633,TS6:1647877821.193922,lat5:99.15876388549805
TS1:1647877821.104577,TS6:1647877821.229695,lat5:125.11801719665527
TS1:1647877821.1242344,TS6:1647877821.2386682,lat5:114.43376541137695
TS1:1647877821.114419,TS6:1647877821.2413976,lat5:126.97863578796387
TS1:1647877821.134024,TS6:1647877821.2535005,lat5:119.4765567779541
TS1:1647877821.1535995,TS6:1647877821.261688,lat5:108.08849334716797
TS1:1647877821.1438231,TS6:1647877821.267828,lat5:124.00484085083008
TS1:1647877821.1633754,TS6:1647877821.2979033,lat5:134.52792167663574
TS1:1647877821.182937,TS6:1647877821.3102813,lat5:127.34436988830566
TS1:1647877821.1731467,TS6:1647877821.3134203,lat5:140.2735710144043
TS1:1647877821.1926992,TS6:1647877821.3354707,lat5:142.77148246765137
TS1:1647877821.2122316,TS6:1647877821.3532538,lat5:141.0222053527832
TS1:1647877821.2024858,TS6:1647877821.3541021,lat5:151.61633491516113
TS1:1647877821.2219818,TS6:1647877821.358261,lat5:136.27934455871582
TS1:1647877821.2316957,TS6:1647877821.360863,lat5:129.1673183441162
TS1:1647877821.251202,TS6:1647877821.3721776,lat5:120.97549438476562
TS1:1647877821.2414403,TS6:1647877821.3745053,lat5:133.06498527526855
TS1:1647877821.2609663,TS6:1647877821.3929398,lat5:131.9735050201416
TS1:1647877821.2707672,TS6:1647877821.4089055,lat5:138.1382942199707
TS1:1647877821.2805188,TS6:1647877821.4123135,lat5:131.79469108581543
TS1:1647877821.290209,TS6:1647877821.4278421,lat5:137.6330852508545
TS1:1647877821.2998235,TS6:1647877821.4312084,lat5:131.38484954833984
TS1:1647877821.3095877,TS6:1647877821.4593816,lat5:149.7938632965088
TS1:1647877821.319491,TS6:1647877821.460039,lat5:140.5479907989502
TS1:1647877821.3292336,TS6:1647877821.4798307,lat5:150.59709548950195
TS1:1647877821.338993,TS6:1647877821.4821002,lat5:143.10717582702637
TS1:1647877821.3585536,TS6:1647877821.4957914,lat5:137.2377872467041
TS1:1647877821.3781345,TS6:1647877821.498441,lat5:120.30649185180664
TS1:1647877821.348718,TS6:1647877821.5014296,lat5:152.7116298675537
TS1:1647877821.3683376,TS6:1647877821.520527,lat5:152.1892547607422
TS1:1647877821.39768,TS6:1647877821.5383308,lat5:140.65074920654297
TS1:1647877821.3879342,TS6:1647877821.5489078,lat5:160.97354888916016
TS1:1647877821.407433,TS6:1647877821.558739,lat5:151.3059139251709
TS1:1647877821.417167,TS6:1647877821.5672586,lat5:150.09164810180664
TS1:1647877821.4269257,TS6:1647877821.5759263,lat5:149.0006446838379
TS1:1647877821.4561596,TS6:1647877821.5785275,lat5:122.36785888671875
TS1:1647877821.436674,TS6:1647877821.5826619,lat5:145.98774909973145
TS1:1647877821.4659388,TS6:1647877821.5845983,lat5:118.65949630737305
TS1:1647877821.4756916,TS6:1647877821.6028104,lat5:127.11882591247559
TS1:1647877821.5049076,TS6:1647877821.606742,lat5:101.83429718017578
TS1:1647877821.4464376,TS6:1647877821.60993,lat5:163.49244117736816
TS1:1647877821.4853935,TS6:1647877821.6114023,lat5:126.00874900817871
TS1:1647877821.4951725,TS6:1647877821.622625,lat5:127.45261192321777
TS1:1647877821.514685,TS6:1647877821.633419,lat5:118.73412132263184
TS1:1647877821.5341456,TS6:1647877821.6479073,lat5:113.76166343688965
TS1:1647877821.5438735,TS6:1647877821.6524909,lat5:108.61730575561523
TS1:1647877821.5243928,TS6:1647877821.6550527,lat5:130.659818649292
TS1:1647877821.5535076,TS6:1647877821.6619837,lat5:108.47616195678711
TS1:1647877821.563242,TS6:1647877821.6638384,lat5:100.59642791748047
TS1:1647877821.573055,TS6:1647877821.672255,lat5:99.20001029968262
TS1:1647877821.592689,TS6:1647877821.6787426,lat5:86.05360984802246
TS1:1647877821.5829067,TS6:1647877821.6826394,lat5:99.73263740539551
TS1:1647877821.602558,TS6:1647877821.6985161,lat5:95.95823287963867
TS1:1647877821.622029,TS6:1647877821.703281,lat5:81.25185966491699
TS1:1647877821.6318202,TS6:1647877821.707519,lat5:75.6988525390625
TS1:1647877821.612271,TS6:1647877821.7137067,lat5:101.43566131591797
TS1:1647877821.65126,TS6:1647877821.717943,lat5:66.68305397033691
TS1:1647877821.6611404,TS6:1647877821.7247908,lat5:63.65036964416504
TS1:1647877821.6415484,TS6:1647877821.7414055,lat5:99.85709190368652
TS1:1647877821.6709294,TS6:1647877821.746007,lat5:75.07753372192383
TS1:1647877821.6905122,TS6:1647877821.7495341,lat5:59.021949768066406
TS1:1647877821.680693,TS6:1647877821.7536707,lat5:72.97778129577637
TS1:1647877821.7002022,TS6:1647877821.755764,lat5:55.56178092956543
TS1:1647877821.7100065,TS6:1647877821.7625582,lat5:52.5517463684082
TS1:1647877821.719791,TS6:1647877821.7689638,lat5:49.17287826538086
TS1:1647877821.7295704,TS6:1647877821.7722387,lat5:42.66834259033203
TS1:1647877821.7393088,TS6:1647877821.781408,lat5:42.0992374420166
TS1:1647877821.7588246,TS6:1647877821.7855887,lat5:26.7641544342041
TS1:1647877821.7489865,TS6:1647877821.7892625,lat5:40.27605056762695
TS1:1647877821.768576,TS6:1647877821.8067834,lat5:38.2075309753418
TS1:1647877821.7783964,TS6:1647877821.815067,lat5:36.670684814453125
TS1:1647877821.7881825,TS6:1647877821.8276062,lat5:39.42370414733887
TS1:1647877821.7979198,TS6:1647877821.8317168,lat5:33.79702568054199
TS1:1647877821.807631,TS6:1647877821.8337564,lat5:26.125431060791016
TS1:1647877821.8173788,TS6:1647877821.8397598,lat5:22.381067276000977
TS1:1647877821.827134,TS6:1647877821.845387,lat5:18.253087997436523
TS1:1647877821.8368895,TS6:1647877821.8505461,lat5:13.6566162109375
TS1:1647877821.84664,TS6:1647877821.8584862,lat5:11.846065521240234
TS1:1647877821.856398,TS6:1647877821.869155,lat5:12.756824493408203
TS1:1647877821.866143,TS6:1647877821.8794007,lat5:13.257741928100586
TS1:1647877821.8759031,TS6:1647877821.8861992,lat5:10.296106338500977
TS1:1647877821.8856113,TS6:1647877821.9008887,lat5:15.277385711669922
TS1:1647877821.895339,TS6:1647877821.9075043,lat5:12.165307998657227
TS1:1647877821.905112,TS6:1647877821.9198406,lat5:14.728546142578125
TS1:1647877821.9148526,TS6:1647877821.927001,lat5:12.148380279541016
TS1:1647877821.924579,TS6:1647877821.9407074,lat5:16.1285400390625
TS1:1647877821.9343011,TS6:1647877821.9462175,lat5:11.916399002075195
TS1:1647877821.9441144,TS6:1647877821.9561536,lat5:12.0391845703125
TS1:1647877821.9538803,TS6:1647877821.9662924,lat5:12.412071228027344
TS1:1647877821.9635828,TS6:1647877821.976864,lat5:13.28134536743164
TS1:1647877821.9732974,TS6:1647877821.9846768,lat5:11.379480361938477
TS1:1647877821.983038,TS6:1647877821.9957697,lat5:12.731790542602539
TS1:1647877821.992798,TS6:1647877822.0143738,lat5:21.5756893157959
TS1:1647877822.0025864,TS6:1647877822.028043,lat5:25.456666946411133
TS1:1647877822.0123105,TS6:1647877822.0377243,lat5:25.41375160217285
TS1:1647877822.022027,TS6:1647877822.0424984,lat5:20.47133445739746
TS1:1647877822.0317326,TS6:1647877822.054757,lat5:23.024559020996094
TS1:1647877822.0414376,TS6:1647877822.0584862,lat5:17.04859733581543
TS1:1647877822.0511868,TS6:1647877822.0624175,lat5:11.230707168579102
TS1:1647877822.0609372,TS6:1647877822.073532,lat5:12.594938278198242
TS1:1647877822.0707169,TS6:1647877822.0835974,lat5:12.880563735961914
TS1:1647877822.0803869,TS6:1647877822.0975158,lat5:17.128944396972656
TS1:1647877822.090108,TS6:1647877822.1166177,lat5:26.509761810302734
TS1:1647877822.0997715,TS6:1647877822.1335588,lat5:33.78725051879883
TS1:1647877822.109385,TS6:1647877822.14201,lat5:32.62495994567871
TS1:1647877822.1190047,TS6:1647877822.1582856,lat5:39.28089141845703
TS1:1647877822.128602,TS6:1647877822.172578,lat5:43.9760684967041
TS1:1647877822.1381834,TS6:1647877822.184202,lat5:46.01860046386719
TS1:1647877822.1478002,TS6:1647877822.188339,lat5:40.538787841796875
TS1:1647877822.1574025,TS6:1647877822.198002,lat5:40.59958457946777
TS1:1647877822.1670542,TS6:1647877822.2058775,lat5:38.82336616516113
TS1:1647877822.1767132,TS6:1647877822.2136471,lat5:36.93389892578125
TS1:1647877822.1863089,TS6:1647877822.2180612,lat5:31.752347946166992
TS1:1647877822.1959398,TS6:1647877822.2274978,lat5:31.55803680419922
TS1:1647877822.2055562,TS6:1647877822.2516482,lat5:46.09203338623047
TS1:1647877822.2151692,TS6:1647877822.2821367,lat5:66.96748733520508
TS1:1647877822.224847,TS6:1647877822.2882924,lat5:63.445329666137695
TS1:1647877822.2345786,TS6:1647877822.3046894,lat5:70.11079788208008
TS1:1647877822.2442763,TS6:1647877822.3101044,lat5:65.82808494567871
TS1:1647877822.253998,TS6:1647877822.321507,lat5:67.50893592834473
TS1:1647877822.263742,TS6:1647877822.326664,lat5:62.922000885009766
TS1:1647877822.2830932,TS6:1647877822.3292432,lat5:46.14996910095215
TS1:1647877822.2734308,TS6:1647877822.3337672,lat5:60.33635139465332
TS1:1647877822.2928164,TS6:1647877822.337745,lat5:44.928550720214844
TS1:1647877822.3025565,TS6:1647877822.341877,lat5:39.32046890258789
TS1:1647877822.3122008,TS6:1647877822.3529274,lat5:40.726661682128906
TS1:1647877822.3312497,TS6:1647877822.3567982,lat5:25.548458099365234
TS1:1647877822.340933,TS6:1647877822.371919,lat5:30.98583221435547
TS1:1647877822.3505557,TS6:1647877822.3997824,lat5:49.22676086425781
TS1:1647877822.360065,TS6:1647877822.4040956,lat5:44.03066635131836
TS1:1647877822.3695953,TS6:1647877822.4253812,lat5:55.7858943939209
TS1:1647877822.3791497,TS6:1647877822.4322624,lat5:53.11274528503418
TS1:1647877822.3887267,TS6:1647877822.4464347,lat5:57.708024978637695
TS1:1647877822.3982112,TS6:1647877822.4597604,lat5:61.54918670654297
TS1:1647877822.40775,TS6:1647877822.4744875,lat5:66.73765182495117
TS1:1647877822.4172952,TS6:1647877822.4820168,lat5:64.72158432006836
TS1:1647877822.4268126,TS6:1647877822.4879112,lat5:61.098575592041016
TS1:1647877822.4363112,TS6:1647877822.5253189,lat5:89.00761604309082
TS1:1647877822.4458363,TS6:1647877822.544376,lat5:98.53959083557129
TS1:1647877822.455329,TS6:1647877822.5561383,lat5:100.80933570861816
TS1:1647877822.4648497,TS6:1647877822.5649412,lat5:100.09145736694336
TS1:1647877822.474514,TS6:1647877822.5719573,lat5:97.4433422088623
TS1:1647877822.4844308,TS6:1647877822.5829887,lat5:98.55794906616211
TS1:1647877822.5325174,TS6:1647877822.60674,lat5:74.22256469726562
TS1:1647877822.4940534,TS6:1647877822.6112432,lat5:117.18988418579102
TS1:1647877822.513253,TS6:1647877822.6144884,lat5:101.23538970947266
TS1:1647877822.503656,TS6:1647877822.615925,lat5:112.26916313171387
TS1:1647877822.522904,TS6:1647877822.618635,lat5:95.73101997375488
TS1:1647877822.5420706,TS6:1647877822.6211424,lat5:79.0717601776123
TS1:1647877822.5516405,TS6:1647877822.6339011,lat5:82.2606086730957
