ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023664.725201,0.0,0.0,0.0,0.0,16780898304,13783949312,17.9,2648420352,4146253824,1978081280,9670037504,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023664.9803028,3.8,3.8,0.0,0.0,16780898304,13783949312,17.9,2648420352,4146253824,1978081280,9670148096,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023665.2332673,3.8,0.0,0.0,0.0,16780898304,13783949312,17.9,2648420352,4146253824,1978081280,9670209536,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023665.4862447,0.0,0.0,0.0,0.0,16780898304,13783691264,17.9,2648678400,4145995776,1978085376,9670148096,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023665.7395477,0.0,0.0,3.8,0.0,16780898304,13783691264,17.9,2648678400,4145995776,1978085376,9670148096,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023665.992547,0.0,3.8,0.0,3.8,16780898304,13783691264,17.9,2648678400,4145995776,1978089472,9670201344,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345668,266568797,1078624,742547,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391142,152608880,611287,798156,
1648023666.2454333,3.8,3.8,4.0,0.0,16780898304,13783691264,17.9,2648678400,4145995776,1978089472,9670201344,26413,2969939,1163734016,31745577984,6486,3681395,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345984,266569153,1078628,742549,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391498,152609196,611289,798160,
1648023666.4981797,3.8,0.0,3.8,0.0,16780898304,13783900160,17.9,2648469504,4146204672,1978089472,9670213632,26413,2969941,1163734016,31745696768,6486,3681397,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345984,266569153,1078628,742549,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391498,152609196,611289,798160,
1648023666.7517178,0.0,0.0,0.0,0.0,16780898304,13783949312,17.9,2648412160,4146253824,1978085376,9670221824,26413,2969941,1163734016,31745696768,6486,3681397,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345984,266569153,1078628,742549,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391498,152609196,611289,798160,
1648023667.0045476,0.0,0.0,3.8,0.0,16780898304,13783691264,17.9,2648678400,4145987584,1978097664,9670246400,26413,2969941,1163734016,31745696768,6486,3681397,18451804,18451804,139943,139943,132160631,1807197995,591138,1714795,0,0,0,0,74197896,86122231,611715,612296,17003699,0,77825,0,17007226,3812,77872,45,17012559,4946,77853,37,314345984,266569153,1078628,742549,18820345,14415,78038,224,17002227,0,77816,0,20464936,1216525,89419,12785,306667034,303255874,1134056,1106078,116391498,152609196,611289,798160,
