ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023470.065849,0.0,0.0,0.0,0.0,16780898304,13932474368,17.0,2499895296,5011873792,1968578560,8848154624,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023470.321528,7.4,4.0,4.2,3.8,16780898304,13935054848,17.0,2497314816,5014454272,1968578560,8844857344,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023470.5750136,0.0,3.8,3.8,0.0,16780898304,13935054848,17.0,2497314816,5014454272,1968578560,8844857344,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023470.8277602,16.0,12.0,15.4,12.0,16780898304,13935529984,17.0,2496839680,5014929408,1968582656,8844193792,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023471.0808916,0.0,0.0,0.0,0.0,16780898304,13935529984,17.0,2496839680,5014929408,1968582656,8844193792,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023471.3340437,3.8,0.0,0.0,0.0,16780898304,13935329280,17.0,2497040384,5014728704,1968582656,8844136448,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023471.587106,0.0,0.0,0.0,0.0,16780898304,13935329280,17.0,2497040384,5014728704,1968582656,8844136448,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023471.8398254,0.0,0.0,3.8,3.8,16780898304,13935312896,17.0,2497056768,5014712320,1968582656,8844148736,26412,2963866,1163729920,31022973952,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023472.0927439,8.0,0.0,0.0,0.0,16780898304,13935570944,17.0,2496798720,5014970368,1968582656,8844148736,26412,2963867,1163729920,31023010816,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
1648023472.345866,3.8,3.8,0.0,0.0,16780898304,13935570944,17.0,2496798720,5014970368,1968582656,8844132352,26412,2963867,1163729920,31023010816,6485,3628032,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223348703,185877021,791218,524648,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944251,89086175,359204,469335,
