ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,vethe7b3f9d_bytes_sent,vethe7b3f9d_bytes_recv,vethe7b3f9d_packets_sent,vethe7b3f9d_packets_recv,
1648022667.0083616,0.0,0.0,0.0,0.0,16780898304,13996572672,16.6,2435796992,6176653312,1943859200,7756390400,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128271884,1800736987,540060,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872007,61702684,341687,188764,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62564,24731,343,310,
1648022667.2599409,0.0,0.0,3.8,4.0,16780898304,13996572672,16.6,2435796992,6176653312,1943859200,7756390400,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128271884,1800736987,540060,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872007,61702684,341687,188764,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62564,24731,343,310,
1648022667.5127318,0.0,0.0,0.0,4.2,16780898304,13996589056,16.6,2435780608,6176669696,1943859200,7756365824,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128271884,1800736987,540060,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872007,61702684,341687,188764,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62564,24731,343,310,
1648022667.7655625,0.0,0.0,0.0,4.0,16780898304,13996572672,16.6,2435796992,6176653312,1943871488,7756419072,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872007,61702684,341687,188764,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62564,24731,343,310,
1648022668.0185401,0.0,0.0,0.0,0.0,16780898304,13996040192,16.6,2436329472,6176120832,1943871488,7756419072,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022668.2714012,0.0,7.4,4.0,0.0,16780898304,13996040192,16.6,2436329472,6176120832,1943871488,7756419072,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022668.5244129,0.0,0.0,8.0,0.0,16780898304,13996232704,16.6,2436136960,6176313344,1943871488,7756460032,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022668.7772844,0.0,0.0,0.0,0.0,16780898304,13996232704,16.6,2436136960,6176313344,1943871488,7756460032,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022669.0305164,0.0,0.0,7.4,0.0,16780898304,13996048384,16.6,2436321280,6176129024,1943871488,7756480512,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272037,1800736987,540061,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022669.2833624,0.0,7.4,0.0,4.2,16780898304,13996048384,16.6,2436321280,6176129024,1943871488,7756480512,26406,2945139,1163705344,29801952256,6476,3545038,18428166,18428166,139799,139799,128272190,1800736987,540062,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
