ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,veth0546c36_bytes_sent,veth0546c36_bytes_recv,veth0546c36_packets_sent,veth0546c36_packets_recv,veth5b4aac4_bytes_sent,veth5b4aac4_bytes_recv,veth5b4aac4_packets_sent,veth5b4aac4_packets_recv,
1648116235.8824964,0.0,0.0,0.0,0.0,16780898304,13552537600,19.2,2879766528,4375437312,2105208832,9320075264,38930,3718608,1335300096,38929159168,8979,4603656,20015079,20015079,148379,148379,529228598,1831313005,893596,1962334,0,0,0,0,115159438,140418130,970355,993847,26145833,0,119493,0,26149290,3812,119539,45,26908142,1275642,125506,4899,570617592,484395035,2128355,1366290,27962409,14415,119705,224,26144386,0,119484,0,32281347,5095115,143761,25329,139786360,139598363,511978,543867,71547340,98069616,369167,567985,
1648116236.134113,48.0,28.0,50.0,33.3,16780898304,13556363264,19.2,2875965440,4378816512,2105278464,9316188160,38930,3718613,1335300096,38929257472,8979,4603659,20015079,20015079,148379,148379,529229324,1831314556,893607,1962344,0,0,0,0,115167459,140429858,970432,993936,26146054,0,119494,0,26149511,3812,119540,45,26908363,1275642,125507,4899,570669378,484438154,2128545,1366406,27962630,14415,119706,224,26144607,0,119485,0,32281568,5095115,143762,25329,139836157,139651171,512154,544065,71573307,98105529,369306,568185,
1648116236.3875003,20.0,40.0,20.8,33.3,16780898304,13556551680,19.2,2875748352,4378750976,2105286656,9316405248,38930,3718620,1335300096,38929314816,8979,4603664,20015079,20015079,148379,148379,529229852,1831315699,893615,1962352,0,0,0,0,115173130,140437681,970488,993996,26146275,0,119495,0,26149732,3812,119541,45,26908584,1275642,125508,4899,570705702,484468999,2128682,1366490,27962851,14415,119707,224,26144828,0,119486,0,32281831,5095157,143764,25330,139871235,139685988,512281,544187,71592800,98133091,369405,568343,
1648116236.6401865,28.0,47.8,26.9,37.5,16780898304,13556195328,19.2,2876092416,4378042368,2105294848,9316806656,38930,3718625,1335300096,38929363968,8979,4603668,20015079,20015079,148379,148379,529230512,1831317273,893625,1962362,0,0,0,0,115181240,140449355,970566,994084,26146705,0,119497,0,26150162,3812,119543,45,26909014,1275642,125510,4899,570756487,484511822,2128859,1366605,27963281,14415,119709,224,26145258,0,119488,0,32282261,5095157,143766,25330,139919962,139737378,512458,544368,71618431,98167527,369540,568540,
1648116236.8931448,24.0,26.1,44.0,13.6,16780898304,13556412416,19.2,2875867136,4377976832,2105303040,9317097472,38930,3718632,1335300096,38929421312,8979,4603673,20015079,20015079,148379,148379,529231040,1831318358,893633,1962370,0,0,0,0,115187168,140458158,970624,994151,26146705,0,119497,0,26150162,3812,119543,45,26909014,1275642,125510,4899,570795204,484545029,2129000,1366694,27963281,14415,119709,224,26145258,0,119488,0,32282261,5095157,143766,25330,139957361,139776069,512594,544503,71638213,98195340,369641,568703,
1648116237.1461596,29.2,50.0,30.8,25.0,16780898304,13556568064,19.2,2875740160,4377751552,2105311232,9317470208,38930,3718637,1335300096,38929466368,8979,4603676,20015079,20015079,148379,148379,529231766,1831319997,893644,1962381,0,0,0,0,115195000,140468775,970700,994230,26146705,0,119497,0,26150162,3812,119543,45,26909014,1275642,125510,4899,570844351,484586082,2129191,1366806,27963281,14415,119709,224,26145258,0,119488,0,32282261,5095157,143766,25330,140003194,139824314,512761,544682,71663385,98230085,369772,568904,
1648116237.3990736,16.0,36.0,42.3,28.0,16780898304,13556547584,19.2,2875711488,4377493504,2105319424,9317703680,38930,3718644,1335300096,38929515520,8979,4603682,20015079,20015079,148379,148379,529232360,1831321228,893653,1962390,0,0,0,0,115201154,140477578,970760,994297,26146705,0,119497,0,26150162,3812,119543,45,26909014,1275642,125510,4899,570884947,484620980,2129349,1366902,27963281,14415,119709,224,26145258,0,119488,0,32282261,5095157,143766,25330,140041948,139863541,512899,544825,71685290,98260802,369885,569081,
1648116237.6515553,37.5,45.8,33.3,50.0,16780898304,13556420608,19.2,2875912192,4376702976,2105327616,9318367232,38930,3718649,1335300096,38929564672,8979,4603685,20015079,20015079,148379,148379,529233482,1831323676,893670,1962407,0,0,0,0,115213410,140495219,970879,994432,26146705,0,119497,0,26150162,3812,119543,45,26909014,1275642,125510,4899,570962020,484686347,2129621,1367079,27963281,14415,119709,224,26145258,0,119488,0,32282261,5095157,143766,25330,140115020,139941210,513162,545099,71724455,98314351,370093,569389,
1648116237.904456,24.0,50.0,36.4,24.0,16780898304,13555978240,19.2,2876297216,4376023040,2105344000,9318596608,38930,3718657,1335300096,38929658880,8979,4603691,20015079,20015079,148379,148379,529234274,1831325301,893682,1962419,0,0,0,0,115221665,140506990,970960,994522,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571014332,484731914,2129809,1367202,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140164874,139993127,513341,545284,71752902,98351629,370240,569601,
1648116238.15668,34.6,22.7,54.5,13.6,16780898304,13556498432,19.2,2875801600,4375928832,2105360384,9319432192,38930,3718663,1335300096,38929744896,8979,4603694,20015079,20015079,148379,148379,529235132,1831327196,893695,1962432,0,0,0,0,115231935,140521582,971061,994632,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571077650,484785762,2130030,1367346,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140227336,140058105,513569,545516,71784669,98396212,370407,569850,
1648116238.4092546,25.0,45.8,29.2,20.8,16780898304,13556670464,19.2,2875625472,4375879680,2105360384,9319661568,38930,3718670,1335300096,38929794048,8979,4603699,20015079,20015079,148379,148379,529235726,1831328407,893704,1962441,0,0,0,0,115236893,140528683,971108,994689,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571108813,484812003,2130149,1367418,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140256229,140088726,513672,545629,71800999,98418677,370493,569983,
1648116238.665453,38.5,50.0,37.0,60.0,16780898304,13556723712,19.2,2875564032,4375355392,2105376768,9320235008,38930,3718676,1335300096,38929900544,8979,4603703,20015079,20015079,148379,148379,529236848,1831330838,893721,1962458,0,0,0,0,115250200,140548152,971238,994836,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571194763,484885605,2130456,1367616,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140339090,140175527,513970,545941,71845172,98479478,370723,570325,
1648116238.9172127,16.0,12.5,20.0,54.2,16780898304,13556797440,19.2,2875502592,4375097344,2105384960,9320562688,38930,3718684,1335300096,38929994752,8979,4603709,20015079,20015079,148379,148379,529237574,1831332315,893732,1962469,0,0,0,0,115256760,140556901,971302,994902,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571235881,484920871,2130615,1367714,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140376407,140214546,514105,546081,71867711,98509280,370840,570500,
