delay,lat1_min,lat1_avg,lat1_max,lat2_min,lat2_avg,lat2_max,lat3_min,lat3_avg,lat3_max,lat4_min,lat4_avg,lat4_max,lat5_min,lat5_avg,lat5_max,s2_mis,s3_mis,s4_mis,count
1,0.0,0.6,8.1,566.7,1863.9,3110.0,1258.9,2953.7,5227.9,0.0,0.6,14.1,3094.5,4818.6,6470.3,0,0,124,876
2,0.2,0.8,7.5,206.5,1870.7,3021.3,644.9,1876.0,3012.0,0.0,0.8,26.1,886.8,3747.8,5322.5,0,0,138,862
4,0.4,1.0,15.3,126.7,740.7,1206.6,249.0,988.5,1390.0,0.0,0.9,21.1,405.4,1727.1,2341.3,0,0,113,887
5,0.5,0.9,8.1,159.0,854.1,1483.0,291.9,820.9,1403.0,0.0,0.8,14.9,485.1,1674.1,2450.1,0,0,128,872
6,0.5,1.0,9.8,1.7,85.9,280.2,3.9,71.7,226.0,0.0,0.9,15.7,7.9,159.3,462.2,0,0,114,886
7,0.4,1.0,9.6,-1.2,95.6,379.8,3.0,77.6,305.9,0.0,0.8,10.8,7.1,174.9,655.8,0,0,121,879
8,0.1,1.0,10.9,1.6,40.6,290.6,3.0,35.7,242.0,0.0,0.7,20.8,7.5,78.0,498.9,0,0,138,862
9,0.7,1.0,9.8,1.5,24.9,231.8,2.9,21.8,203.9,0.0,0.8,10.4,7.2,48.7,368.0,0,0,114,886
10,0.5,0.9,11.5,-6.0,12.7,196.4,3.0,12.1,179.0,0.0,0.8,8.3,7.6,26.5,309.3,0,0,121,879
15,0.5,0.9,1.9,2.0,6.4,99.4,3.9,8.7,85.0,0.0,0.9,3.6,8.7,17.0,175.5,0,0,168,832
20,0.7,1.0,7.9,2.4,6.0,139.5,3.9,9.0,64.0,0.0,0.9,3.8,9.2,17.0,198.8,0,0,121,879
25,0.5,1.0,7.0,3.0,6.7,104.7,4.9,10.1,69.9,0.0,0.7,10.2,11.4,18.6,149.7,0,0,122,878
30,0.7,1.0,8.3,3.8,7.8,78.4,5.9,12.5,57.9,0.0,0.7,4.6,11.7,22.0,128.3,0,0,135,865
