ts,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo0_bytes_sent,lo0_bytes_recv,lo0_packets_sent,lo0_packets_recv,gif0_bytes_sent,gif0_bytes_recv,gif0_packets_sent,gif0_packets_recv,stf0_bytes_sent,stf0_bytes_recv,stf0_packets_sent,stf0_packets_recv,anpi1_bytes_sent,anpi1_bytes_recv,anpi1_packets_sent,anpi1_packets_recv,anpi0_bytes_sent,anpi0_bytes_recv,anpi0_packets_sent,anpi0_packets_recv,en3_bytes_sent,en3_bytes_recv,en3_packets_sent,en3_packets_recv,en4_bytes_sent,en4_bytes_recv,en4_packets_sent,en4_packets_recv,en1_bytes_sent,en1_bytes_recv,en1_packets_sent,en1_packets_recv,en2_bytes_sent,en2_bytes_recv,en2_packets_sent,en2_packets_recv,ap1_bytes_sent,ap1_bytes_recv,ap1_packets_sent,ap1_packets_recv,en0_bytes_sent,en0_bytes_recv,en0_packets_sent,en0_packets_recv,awdl0_bytes_sent,awdl0_bytes_recv,awdl0_packets_sent,awdl0_packets_recv,llw0_bytes_sent,llw0_bytes_recv,llw0_packets_sent,llw0_packets_recv,bridge0_bytes_sent,bridge0_bytes_recv,bridge0_packets_sent,bridge0_packets_recv,utun0_bytes_sent,utun0_bytes_recv,utun0_packets_sent,utun0_packets_recv,utun1_bytes_sent,utun1_bytes_recv,utun1_packets_sent,utun1_packets_recv,utun2_bytes_sent,utun2_bytes_recv,utun2_packets_sent,utun2_packets_recv,utun3_bytes_sent,utun3_bytes_recv,utun3_packets_sent,utun3_packets_recv,utun4_bytes_sent,utun4_bytes_recv,utun4_packets_sent,utun4_packets_recv,utun5_bytes_sent,utun5_bytes_recv,utun5_packets_sent,utun5_packets_recv,utun6_bytes_sent,utun6_bytes_recv,utun6_packets_sent,utun6_packets_recv,
1648115920.764096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17179869184,3803283456,77.9,6578307072,133939200,3661070336,3659956224,46571947,24856423,760084615168,457151070208,13289173,1074233,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731979776,46336687,68586299,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115921.0198798,34.6,40.0,23.1,20.0,8.3,4.0,0.0,0.0,17179869184,3775070208,78.0,6609027072,92815360,3702800384,3668688896,46572103,24856423,760087760896,457151070208,13289227,1074233,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731979776,46336687,68586299,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115921.274248,30.8,26.9,16.0,19.2,4.0,0.0,0.0,0.0,17179869184,3810394112,77.8,6572802048,112951296,3715317760,3683581952,46572151,24856423,760088182784,457151070208,13289234,1074233,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731979776,46336687,68586299,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115921.526828,25.0,30.8,23.1,24.0,0.0,0.0,0.0,0.0,17179869184,3810394112,77.8,6572802048,112951296,3715317760,3683581952,46572172,24856424,760088391680,457151074304,13289238,1074233,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115921.782088,30.8,24.0,23.1,26.9,7.7,7.4,0.0,0.0,17179869184,3680813056,78.6,6705725440,103989248,3534192640,3560914944,46572305,24856424,760090046464,457151074304,13289254,1074233,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115922.035413,56.0,52.0,64.0,50.0,20.0,0.0,0.0,0.0,17179869184,3669868544,78.6,6736789504,64061440,3622010880,3595829248,46572714,24856435,760092393472,457151406080,13289355,1074234,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115922.291413,65.4,65.4,61.5,60.0,24.0,3.8,0.0,0.0,17179869184,3648634880,78.8,6771179520,59146240,3606069248,3560062976,46573986,24856439,760112635904,457151447040,13289635,1074234,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115922.5480099,48.0,40.0,32.0,32.0,0.0,0.0,0.0,0.0,17179869184,3687284736,78.5,6709182464,80150528,3621732352,3549954048,46575668,24856439,760140406784,457151447040,13289786,1074234,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115922.801616,34.6,36.0,20.0,23.1,0.0,0.0,0.0,0.0,17179869184,3642736640,78.8,6751354880,64929792,3587506176,3483123712,46577933,24856439,760177893376,457151447040,13289957,1074234,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336689,68586301,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115923.058159,61.5,57.7,52.0,48.0,34.6,24.0,14.8,12.0,17179869184,3520512000,79.5,6787596288,59654144,3479650304,3334045696,46579804,24856439,760209715200,457151447040,13290371,1074234,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371273728,731980800,46336692,68586303,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
