ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,
1648116439.6412847,0.0,0.0,0.0,0.0,16780898304,15597465600,7.1,836304896,13498310656,1016668160,1914462208,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336780638,514441255,1732407,2261173,
1648116439.8928354,0.0,7.7,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336795312,514447540,1732471,2261244,
1648116440.1451788,0.0,7.7,0.0,0.0,16780898304,15597584384,7.1,836186112,13498408960,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336813977,514455764,1732543,2261334,
1648116440.3981822,4.2,8.0,0.0,0.0,16780898304,15597551616,7.1,836218880,13498376192,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336828529,514462581,1732607,2261412,
1648116440.6516974,0.0,7.4,0.0,0.0,16780898304,15597584384,7.1,836186112,13498408960,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336846281,514469880,1732676,2261491,
1648116440.9040563,0.0,7.7,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336859876,514475989,1732730,2261560,
1648116441.1567783,4.2,0.0,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336874696,514482722,1732791,2261635,
1648116441.4093933,4.2,4.0,0.0,0.0,16780898304,15597649920,7.1,836120576,13498474496,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336891245,514490365,1732860,2261720,
1648116441.6653705,0.0,4.0,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336905958,514496510,1732918,2261789,
1648116441.9179773,0.0,4.0,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336922925,514504356,1732988,2261873,
1648116442.1706133,4.3,4.0,0.0,0.0,16780898304,15597420544,7.1,836349952,13498245120,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336938089,514510751,1733047,2261944,
1648116442.42355,0.0,4.0,0.0,0.0,16780898304,15597355008,7.1,836415488,13498179584,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336953207,514517931,1733113,2262025,
1648116442.677115,8.3,7.7,0.0,0.0,16780898304,15597551616,7.1,836218880,13498376192,1016672256,1914548224,37831,566268,1327886336,7447389184,7816,558037,1370927,1370927,10164,10164,336971958,514526019,1733176,2262115,
1648116442.929927,4.3,4.0,0.0,7.7,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914548224,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,336985633,514532649,1733229,2262190,
1648116443.1824303,0.0,0.0,0.0,0.0,16780898304,15597617152,7.1,836153344,13498441728,1016672256,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337002381,514539725,1733280,2262265,
1648116443.4362593,4.3,7.7,0.0,0.0,16780898304,15597518848,7.1,836251648,13498343424,1016672256,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337017502,514547147,1733338,2262348,
1648116443.6893594,0.0,4.0,0.0,0.0,16780898304,15597551616,7.1,836218880,13498376192,1016672256,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337034162,514554417,1733395,2262428,
1648116443.9417117,0.0,4.0,0.0,0.0,16780898304,15597502464,7.1,836263936,13498318848,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337049365,514561447,1733455,2262506,
1648116444.1942277,0.0,7.7,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337064111,514568116,1733513,2262578,
1648116444.4478385,0.0,4.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337081780,514575463,1733579,2262657,
1648116444.7010312,8.0,0.0,0.0,0.0,16780898304,15597568000,7.1,836198400,13498384384,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337097265,514582319,1733642,2262733,
1648116444.9534197,0.0,0.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337112763,514589611,1733703,2262812,
1648116445.2053955,4.2,7.7,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337130072,514596906,1733770,2262892,
1648116445.457619,4.3,4.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337144431,514603071,1733829,2262963,
1648116445.7095258,0.0,4.0,0.0,0.0,16780898304,15597568000,7.1,836198400,13498384384,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337160720,514610372,1733884,2263040,
1648116445.9617586,0.0,4.0,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337176193,514617660,1733949,2263121,
1648116446.2141085,0.0,4.2,0.0,0.0,16780898304,15597633536,7.1,836132864,13498449920,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337194787,514625671,1734018,2263208,
1648116446.4671273,0.0,3.8,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337209675,514632356,1734087,2263285,
1648116446.7195692,8.3,4.2,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337228013,514639258,1734150,2263362,
1648116446.9721367,0.0,4.0,0.0,0.0,16780898304,15597568000,7.1,836198400,13498384384,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337244394,514646789,1734217,2263441,
1648116447.224559,0.0,4.0,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337261821,514653913,1734281,2263519,
1648116447.4771225,12.0,11.1,0.0,0.0,16780898304,15597502464,7.1,836263936,13498318848,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337277831,514661747,1734344,2263604,
1648116447.729426,0.0,4.0,0.0,0.0,16780898304,15597633536,7.1,836132864,13498449920,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337294025,514668542,1734397,2263680,
1648116447.9822176,0.0,4.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337308136,514675155,1734449,2263756,
1648116448.2345312,0.0,4.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337325207,514682624,1734507,2263837,
1648116448.4867632,0.0,4.0,0.0,0.0,16780898304,15597699072,7.1,836067328,13498515456,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337339851,514689618,1734561,2263915,
1648116448.7388332,0.0,4.0,0.0,0.0,16780898304,15597568000,7.1,836198400,13498384384,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337354915,514697174,1734617,2263997,
1648116448.9909315,0.0,7.7,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337369061,514703316,1734665,2264068,
1648116449.2432225,0.0,0.0,0.0,0.0,16780898304,15597666304,7.1,836100096,13498482688,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337383616,514710382,1734720,2264145,
1648116449.4955413,0.0,4.0,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337398600,514716780,1734772,2264218,
1648116449.7480772,0.0,4.2,0.0,0.0,16780898304,15597535232,7.1,836231168,13498351616,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337416882,514724845,1734831,2264301,
1648116450.00023,4.2,7.7,0.0,0.0,16780898304,15597633536,7.1,836132864,13498449920,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337432460,514731957,1734884,2264379,
1648116450.25311,4.3,3.8,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337446399,514738480,1734934,2264452,
1648116450.506659,0.0,0.0,0.0,0.0,16780898304,15597600768,7.1,836165632,13498417152,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337458150,514744475,1734982,2264520,
1648116450.7605612,4.3,7.7,0.0,0.0,16780898304,15597568000,7.1,836198400,13498384384,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337473515,514750413,1735037,2264587,
1648116451.012937,4.2,14.3,0.0,0.0,16780898304,15597469696,7.1,836296704,13498286080,1016680448,1914609664,37831,566397,1327886336,7448839168,7816,558234,1370927,1370927,10164,10164,337488684,514757611,1735103,2264666,
1648116451.2655625,0.0,0.0,0.0,0.0,16780898304,15597211648,7.1,836554752,13498028032,1016680448,1914609664,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337507324,514765461,1735175,2264752,
1648116451.5180266,0.0,3.8,0.0,0.0,16780898304,15597342720,7.1,836423680,13498159104,1016680448,1914609664,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337521067,514771638,1735232,2264823,
1648116451.7706428,0.0,8.0,0.0,0.0,16780898304,15597244416,7.1,836521984,13498060800,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337536850,514778458,1735296,2264899,
1648116452.0229537,0.0,7.4,0.0,0.0,16780898304,15597375488,7.1,836390912,13498191872,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337549187,514784426,1735349,2264966,
1648116452.2755823,8.3,4.2,0.0,0.0,16780898304,15597277184,7.1,836489216,13498093568,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337568458,514792133,1735418,2265046,
1648116452.529099,4.2,3.8,0.0,0.0,16780898304,15597342720,7.1,836423680,13498159104,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337583372,514799400,1735479,2265125,
1648116452.7824197,0.0,4.0,0.0,3.7,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337596193,514804626,1735524,2265183,
1648116453.0345592,0.0,7.7,0.0,0.0,16780898304,15597244416,7.1,836521984,13498060800,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337610225,514810945,1735592,2265255,
1648116453.2871478,4.3,3.8,0.0,0.0,16780898304,15597146112,7.1,836620288,13497962496,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337625914,514817918,1735666,2265332,
1648116453.5415256,4.2,7.7,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337641184,514824356,1735741,2265405,
1648116453.794122,0.0,8.0,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337660464,514832516,1735825,2265491,
1648116454.0457726,0.0,7.7,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337675864,514838480,1735893,2265560,
1648116454.29789,0.0,7.7,0.0,0.0,16780898304,15597375488,7.1,836390912,13498191872,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337688155,514844289,1735948,2265625,
1648116454.5502384,4.2,4.0,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337702847,514850828,1736019,2265698,
1648116454.8023953,0.0,4.0,0.0,0.0,16780898304,15597277184,7.1,836489216,13498093568,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337718718,514857017,1736088,2265768,
1648116455.055148,4.3,4.0,0.0,0.0,16780898304,15597408256,7.1,836358144,13498224640,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337733639,514863796,1736154,2265838,
1648116455.307129,4.2,4.0,0.0,0.0,16780898304,15597342720,7.1,836423680,13498159104,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337750912,514870936,1736226,2265915,
1648116455.5594132,0.0,0.0,0.0,0.0,16780898304,15597408256,7.1,836358144,13498224640,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337764645,514877050,1736291,2265984,
1648116455.8116665,4.3,0.0,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337780880,514883766,1736354,2266059,
1648116456.0639362,0.0,7.7,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337793596,514889780,1736409,2266128,
1648116456.3168862,4.2,0.0,0.0,0.0,16780898304,15597375488,7.1,836390912,13498191872,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337809205,514897479,1736475,2266212,
1648116456.5698512,4.3,4.0,0.0,0.0,16780898304,15597309952,7.1,836456448,13498126336,1016680448,1914671104,37831,566398,1327886336,7448843264,7816,558235,1370927,1370927,10164,10164,337828009,514905044,1736539,2266295,
1648116456.8221085,0.0,4.0,0.0,0.0,16780898304,15597277184,7.1,836481024,13498093568,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337842945,514911927,1736591,2266370,
1648116457.0750191,0.0,0.0,0.0,0.0,16780898304,15597277184,7.1,836481024,13498093568,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337853496,514916525,1736632,2266423,
1648116457.3271136,0.0,4.0,0.0,0.0,16780898304,15597146112,7.1,836612096,13497962496,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337865622,514922025,1736680,2266484,
1648116457.5793972,0.0,4.0,0.0,0.0,16780898304,15597146112,7.1,836612096,13497962496,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337881611,514929505,1736747,2266567,
1648116457.8322167,4.2,7.7,0.0,0.0,16780898304,15597309952,7.1,836448256,13498126336,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337900793,514936567,1736817,2266645,
1648116458.0852296,4.2,4.0,0.0,0.0,16780898304,15597277184,7.1,836481024,13498093568,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337913984,514942873,1736872,2266716,
1648116458.339655,0.0,4.0,0.0,0.0,16780898304,15597309952,7.1,836448256,13498126336,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337932519,514950371,1736939,2266796,
1648116458.5923314,0.0,4.0,0.0,0.0,16780898304,15597277184,7.1,836481024,13498093568,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337944139,514956190,1736992,2266862,
1648116458.8453882,8.3,4.0,0.0,0.0,16780898304,15596953600,7.1,836804608,13497769984,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337961256,514963280,1737064,2266940,
1648116459.0978963,0.0,7.7,0.0,0.0,16780898304,15596920832,7.1,836837376,13497737216,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337977193,514969851,1737137,2267016,
1648116459.3510187,0.0,7.7,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,337992031,514976596,1737204,2267091,
1648116459.6038258,4.3,7.7,0.0,0.0,16780898304,15597019136,7.1,836739072,13497835520,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338006620,514982941,1737265,2267162,
1648116459.8563433,8.0,11.1,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338025534,514991012,1737333,2267249,
1648116460.108373,4.2,4.0,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914671104,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338039767,514997736,1737401,2267324,
1648116460.360222,0.0,7.7,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338055687,515004486,1737474,2267398,
1648116460.6123722,8.0,4.2,0.0,0.0,16780898304,15597084672,7.1,836673536,13497901056,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338070950,515010974,1737546,2267471,
1648116460.8647852,0.0,7.7,0.0,0.0,16780898304,15596986368,7.1,836771840,13497802752,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338087982,515018376,1737620,2267547,
1648116461.1171372,4.2,4.0,0.0,0.0,16780898304,15597117440,7.1,836640768,13497933824,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338102930,515024796,1737680,2267618,
1648116461.369119,0.0,4.0,3.8,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338120697,515032114,1737747,2267700,
1648116461.6210458,0.0,7.7,0.0,0.0,16780898304,15597019136,7.1,836739072,13497835520,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338134090,515038253,1737799,2267769,
1648116461.8735874,0.0,4.0,0.0,0.0,16780898304,15597150208,7.1,836608000,13497966592,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338148170,515045261,1737853,2267846,
1648116462.125762,0.0,4.0,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338163015,515051673,1737904,2267919,
1648116462.3777974,0.0,0.0,0.0,0.0,16780898304,15597117440,7.1,836640768,13497933824,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338180139,515059456,1737962,2268001,
1648116462.629746,0.0,0.0,0.0,0.0,16780898304,15597084672,7.1,836673536,13497901056,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338196224,515066773,1738016,2268082,
1648116462.882505,4.3,0.0,0.0,0.0,16780898304,15597019136,7.1,836739072,13497835520,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338212190,515074141,1738073,2268163,
1648116463.135954,0.0,4.0,0.0,0.0,16780898304,15597051904,7.1,836706304,13497868288,1016680448,1914732544,37831,566400,1327886336,7448884224,7816,558237,1370927,1370927,10164,10164,338226741,515080492,1738123,2268234,
1648116463.3881426,0.0,7.7,0.0,0.0,16780898304,15597064192,7.1,836706304,13497868288,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338242155,515087820,1738179,2268314,
1648116463.6405904,8.0,7.7,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338258399,515095248,1738234,2268390,
1648116463.8929567,8.3,4.0,0.0,0.0,16780898304,15597096960,7.1,836673536,13497901056,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338276450,515102923,1738293,2268476,
1648116464.1450124,0.0,4.0,0.0,0.0,16780898304,15597129728,7.1,836640768,13497933824,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338289386,515109277,1738343,2268549,
1648116464.3973854,0.0,3.8,0.0,0.0,16780898304,15596998656,7.1,836771840,13497802752,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338303922,515115917,1738395,2268622,
1648116464.649823,4.2,4.0,0.0,0.0,16780898304,15597096960,7.1,836673536,13497901056,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338316431,515121834,1738442,2268689,
1648116464.9021,0.0,4.0,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338335756,515130045,1738502,2268776,
1648116465.154982,0.0,11.1,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338351235,515137442,1738553,2268858,
1648116465.40749,0.0,4.0,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338365168,515144364,1738607,2268935,
1648116465.660037,4.2,0.0,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338378104,515150195,1738654,2269001,
1648116465.912728,0.0,4.0,0.0,0.0,16780898304,15597096960,7.1,836673536,13497901056,1016692736,1914732544,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338390072,515155398,1738697,2269061,
1648116466.1649702,4.2,10.7,0.0,0.0,16780898304,15597064192,7.1,836706304,13497868288,1016692736,1914773504,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338402774,515161480,1738743,2269129,
1648116466.417494,0.0,4.0,0.0,0.0,16780898304,15596998656,7.1,836771840,13497802752,1016692736,1914773504,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338419049,515168853,1738793,2269205,
1648116466.6697478,4.2,4.0,0.0,0.0,16780898304,15597129728,7.1,836640768,13497933824,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338432387,515174846,1738843,2269275,
1648116466.9221046,0.0,7.7,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338444608,515180806,1738886,2269338,
1648116467.174532,0.0,11.1,0.0,0.0,16780898304,15596900352,7.1,836870144,13497704448,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338462810,515188237,1738964,2269422,
1648116467.4267457,0.0,4.0,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338477697,515194895,1739034,2269495,
